Title,Rental_Price,Location,Beds,Baths,Balconies,Carpet Area,Floor,Status,Furnished Status,Age Of Construction,Rental Value,Security Deposit,Address,Furnishing,Age of Construction,link,Balcony,Project,Price,Covered Parking,Super Built-up Area,Developer,Facing,Lifts,Car parking,Landmarks,Flooring,Overlooking,Additional Rooms,Water Availability,Status of Electricity,Lift,Amenities,Price per sqft,Configuration,Tower & Unit,Floors allowed for construction,Unit,Bath,Bed,Type of Ownership,RERA ID,Authority Approval,Tower,Plot Area,Any Construction done,Boundary Wall,Transaction Type,Approved,Dimensions(L X B),No of Open Sides,Additional Features,Floors allowed,Brokerage Response
2 BHK 1283 Sq-ft Flat/Apartment  For Rent in,"₹60,000","Gachibowli, Hyderabad",2.0,2.0,,,2(Out of 32 Floors),Immediately,Furnished,,"₹60,000",,"Gachibowli, Hyderabad - West, Andhra Pradesh",Furnished,,https://www.magicbricks.com/propertyDetails/2-BHK-1283-Sq-ft-Multistorey-Apartment-FOR-Rent-Gachibowli-in-Hyderabad&id=4d423639313833373235,,,,,1283sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹47/sqft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK 400 Sq-ft Flat/Apartment  For Rent in,"₹9,500","Rahmath nagar, Hyderabad",,,,350sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹27/sqft,2(Out of 5 Floors),Immediately,Unfurnished,Less than 5 years,"₹9,500","₹19, 000","Hyderabad, Rahmath nagar, Hyderabad - North, Andhra Pradesh",Unfurnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/1-BHK-400-Sq-ft-Multistorey-Apartment-FOR-Rent-Rahmath-nagar-in-Hyderabad&id=4d423833363836363637,,,,,,,East,,,krishna kanth park,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
2 BHK 1100 Sq-ft Flat/Apartment  For Rent in,₹1.2 Lac,"AS Rao Nagar, Hyderabad",2.0,2.0,,,3(Out of 5 Floors),Immediately,Semi-Furnished,,₹1.2 Lac,,"AS Rao Nagar, Hyderabad - Secunderabad City, Andhra Pradesh",Semi-Furnished,,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-AS-Rao-Nagar-in-Hyderabad&id=4d423639313833363433,,,,,1100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹109/sqft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 1100 Sq-ft For Rent in Eshwar Residency Kukatpally,","₹26,000","KPHB Phase 3, Hyderabad",2.0,2.0,,950sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹27/sqft,2(Out of 5 Floors),Immediately,Furnished,15 to 20 years,"₹26,000|₹1,700Monthly Maintenance","₹52, 000","MIG 381 Eshwar Residency, KPHB Phase 3, Hyderabad - North, Andhra Pradesh",Furnished,15 to 20 years,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-KPHB-Phase-3-in-Hyderabad&id=4d423832383336333135,1.0,Eshwar Residency Kukatpally,₹ 1.20 Cr - ₹ 1.44 Cr,,,,North,,,,Marble,,,24 Hours Available,No/Rare Powercut,,,,,"1 Tower , 16 Units",5.0,,,,,,,,,,,,,,,,,
4 BHK  3600 Sq-ft For Rent in,"₹90,000","NRSA Colony, Hyderabad",4.0,4.0,,,,Immediately,Semi-Furnished,5 to 10 years,"₹90,000",,"380, Gokul plot, V R colony, Near vasanth nagar, NRSA Colony, Hyderabad - North, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/4-BHK-3600-Sq-ft-Villa-FOR-Rent-NRSA-colony-in-Hyderabad&id=4d423732313637363035,,,,2.0,3600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,,East,,"2 Covered, 2 Open",,"Granite, Marble",,"Puja Room, Store, Servant Room",,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹5,500","Lenin Nagar Meerpet, Hyderabad",,,2.0,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹8/sqft,1(Out of 2 Floors),Immediately,Unfurnished,New Construction,"₹5,500","₹11, 000","New ayodhya nagar., Lenin Nagar Meerpet, Hyderabad - South, Andhra Pradesh",Unfurnished,New Construction,https://www.magicbricks.com/propertyDetails/1-BHK-800-Sq-ft-Residential-House-FOR-Rent-Lenin-Nagar-Meerpet-in-Hyderabad&id=4d423534383536313537,,,,,,,East,,,Balpur x rods BDL MIDHANI RCI TCS ROAD,,Main Road,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
3128 Sq-ft For Rent in,"₹75,000","Narsingi, Hyderabad",,4.0,,3128sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹24/sqft,5(Out of 5 Floors),Immediately,Furnished,New Construction,"₹75,000",,"Magic Breeze by Pooja Crafted Homes, Opposite to Professor Jaishankar Park, Narsingi, Narsingi, Hyderabad - West, Andhra Pradesh",Furnished,New Construction,https://www.magicbricks.com/propertyDetails/3128-Sq-ft-Studio-Apartment-FOR-Rent-Narsingi-in-Hyderabad&id=4d423833303336323335,1.0,,,,,,West,,,Beside professor Jaishankar park Narsingi,Ceramic Tiles,Garden/Park,Study,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1860 Sq-ft For Rent in Nafees Residency,","₹62,000","Masab Tank, Hyderabad",3.0,3.0,2.0,1700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹36/sqft,5(Out of 5 Floors),Immediately,Furnished,10 to 15 years,"₹62,000|₹3,500Monthly Maintenance",₹2.5 Lac,"Masab Tank, Hyderabad - Central, Andhra Pradesh",Furnished,10 to 15 years,https://www.magicbricks.com/propertyDetails/3-BHK-1860-Sq-ft-Multistorey-Apartment-FOR-Rent-Masab-Tank-in-Hyderabad&id=4d423830303531333235,,Nafees Residency,₹ 1.17 Cr - ₹ 1.31 Cr,,,Western Constrcutions,North - East,,,,Granite,,,24 Hours Available,,,"Flower Gardens,Maintenance Staff,Security,Reserved Parking,Lift,Power Back Up",,,,5.0,", 80 Units",,,,,,,,,,,,,,,,
"3 BHK Flat 1000 Sq-ft For Rent in Silver Spring Enclave,","₹15,000","Adibatla, Hyderabad",3.0,2.0,,,2(Out of 6 Floors),Immediately,Semi-Furnished,,"₹15,000",,"Adibatla, Adibatla, Hyderabad - Rangareddy District, Andhra Pradesh",Semi-Furnished,,https://www.magicbricks.com/propertyDetails/3-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Adibatla-in-Hyderabad&id=4d423637373133383333,,Silver Spring Enclave,₹ 48.0 Lac - ₹ 54.3 Lac,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹15/sqft,Sri Lakshmi Developers,,,,,,,,,,,"Cycling & Jogging Track,Activity Deck4,Meditation Area,Kids Play Area,Kids Club,Flower Gardens,Canopy Walk,Large Open space,Outdoor Tennis Courts,Jogging and Strolling Track,Cafeteria/Food Court,RO Water System,Waste Disposal,Maintenance Staff,Visitor Parking,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Swimming Pool,Rain Water Harvesting",,,,,", 117 Units",,,,,,,,,,,,,,,,
"3 BHK 1926 Sq-ft Flat/Apartment  For Rent in My Home Sayuk,","₹55,000","Tellapur, Hyderabad",3.0,3.0,,,18(Out of 40 Floors),Immediately,Semi-Furnished,Less than 5 years,"₹55,000",₹1.2 Lac,"Thellapur, Tellapur, Hyderabad - West, Andhra Pradesh",Semi-Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/3-BHK-1926-Sq-ft-Multistorey-Apartment-FOR-Rent-Tellapur-in-Hyderabad&id=4d423832383336373135,1.0,My Home Sayuk,₹ 1.46 Cr - ₹ 2.44 Cr,,1926sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹29/sqft,My Home Group,East,,,nearby hotels nearby metro station near hotels in the hospital,,"Garden/Park, Main Road",Puja Room,,,,"Cricket net practice,Cycling & Jogging Track,Meditation Area,Indoor Squash & Badminton Courts,Indoor Games Room,Event Space & Amphitheatre,Kids play area,Pet park,Multipurpose Hall,Outdoor Tennis Courts,Jogging and Strolling Track,Gymnasium,Swimming Pool","₹ 10,112 - ₹ 12,546","2, 3 BHK Flats","12 Towers , 3780 Units",,,,,,,,,,,,,,,,,,
