Title,Rental_Price,Location,Beds,Baths,Balconies,Carpet Area,Floor,Status,Furnished Status,Age Of Construction,Rental Value,Security Deposit,Address,Furnishing,Age of Construction,link,Balcony,Project,Price,Covered Parking,Super Built-up Area,Developer,Facing,Lifts,Car parking,Landmarks,Flooring,Overlooking,Additional Rooms,Water Availability,Status of Electricity,Lift,Amenities,Price per sqft,Configuration,Tower & Unit,Floors allowed for construction,Unit,Bath,Bed,Type of Ownership,RERA ID,Authority Approval,Tower,Plot Area,Any Construction done,Boundary Wall,Transaction Type,Approved,Dimensions(L X B),No of Open Sides,Additional Features,Floors allowed,Brokerage Response
2 BHK 1080 Sq-ft Flat/Apartment  For Rent in,"₹23,000","Nizampet, Hyderabad",2.0,2.0,2.0,1080sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹21/sqft,Ground(Out of 5 Floors),Immediately,Semi-Furnished,5 to 10 years,"₹23,000|₹1,500Monthly Maintenance","₹46, 000","Nizampet, Hyderabad - North, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/2-BHK-1080-Sq-ft-Multistorey-Apartment-FOR-Rent-Nizampet-in-Hyderabad&id=4d423833373931393133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1800 Sq-ft For Rent in Phoenix Golfedge Residences,","₹75,000","Gachibowli, Hyderabad",3.0,3.0,,1800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹42/sqft,Ground(Out of 30 Floors),Immediately,Furnished,5 to 10 years,"₹75,000|₹7,500Monthly Maintenance",₹1.5 Lac,"Gachibowli, Hyderabad - West, Andhra Pradesh",Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/3-BHK-1800-Sq-ft-Multistorey-Apartment-FOR-Rent-Gachibowli-in-Hyderabad&id=4d423833373935383631,1.0,Phoenix Golfedge Residences,₹ 2.69 Cr - ₹ 4.67 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 1455 Sq-ft For Rent in Hima Sai Lake View Towers,","₹40,000","Nallagandla, Hyderabad",2.0,2.0,,,6(Out of 14 Floors),Immediately,Semi-Furnished,,"₹40,000|₹3,933Monthly Maintenance","₹80, 000","Hima Sai Lake View Towers, Nallagandla, Hyderabad - West, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/2-BHK-1455-Sq-ft-Multistorey-Apartment-FOR-Rent-Nallagandla-in-Hyderabad&id=4d423833373933393733,,Hima Sai Lake View Towers,₹ 1.26 Cr - ₹ 1.70 Cr,1.0,1455sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹27/sqft,Sai Sree Developers Pvt. Ltd.,East,3.0,1 Covered,20 meters to Aparna Neo Mall and Dmart Nallagandla.,Vitrified,"Pool, Main Road",Puja Room,24 Hours Available,No/Rare Powercut,3.0,"Kids Play Area,Indoor Games Room,Flower Gardens,Jogging and Strolling Track,Maintenance Staff,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Lift,Power Back Up","₹ 7,522 - ₹ 8,660","2, 3 BHK Flats","2 Towers , 182 Units",,,,,,,,,,,,,,,,,,
"3 BHK Flat 2225 Sq-ft For Rent in Jayabheri The Nirvana ,","₹91,000","Gachibowli, Hyderabad",3.0,3.0,,,23(Out of 29 Floors),Immediately,Semi-Furnished,,"₹91,000|₹9,000Monthly Maintenance",,"Gachibowli, Hyderabad, Gachibowli, Hyderabad - West, Andhra Pradesh",Semi-Furnished,,https://www.magicbricks.com/propertyDetails/3-BHK-2225-Sq-ft-Multistorey-Apartment-FOR-Rent-Gachibowli-in-Hyderabad&id=4d423833373838383033,1.0,Jayabheri The Nirvana,₹ 2.50 Cr - ₹ 2.53 Cr,,2225sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹41/sqft,,,,,,,,,,,,,"₹ 11,279 - ₹ 12,329",3 BHK Flats,"5 Towers , 692 Units",,,,,,,,,,,,,,,,,,
"3 BHK Flat 1608 Sq-ft For Rent in HSR Amrut Akash,","₹30,000","LB Nagar, Hyderabad",3.0,3.0,,,3(Out of 10 Floors),,Furnished,,"₹30,000",,"LB Nagar, Hyderabad - Central, Andhra Pradesh",Furnished,,https://www.magicbricks.com/propertyDetails/3-BHK-1608-Sq-ft-Multistorey-Apartment-FOR-Rent-LB-Nagar-in-Hyderabad&id=4d423833373930373637,,HSR Amrut Akash,₹ 75.6 Lac - ₹ 1.10 Cr,,1608sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,HSR Ventures Pvt. Ltd.,,,,,,,,,,,"Fire Fighting Equipment,Meditation Area,Kids Play Area,Indoor Games Room,Intercom Facility,Air Conditioned,Vaastu Compliant,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Lift,Power Back Up","₹ 6,873 - ₹ 7,947",3 BHK Flats,"1 Tower , 140 Units",,,,,,,,,,,,,,,,,,
3 BHK 1950 Sq-ft Flat/Apartment  For Rent in,"₹40,000","Shilpa Hills, Hyderabad",3.0,3.0,2.0,1650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹24/sqft,1(Out of 5 Floors),,Semi-Furnished,5 to 10 years,"₹40,000|₹2,500Monthly Maintenance","₹80, 000","Flat  1 A, Srirams Jasmine Residency, Shilpa Hills, Road no.4, Izzat nagar, Hyderabad-84, Shilpa Hills, Hyderabad - North, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/3-BHK-1950-Sq-ft-Multistorey-Apartment-FOR-Rent-Shilpa-Hills-in-Hyderabad&id=4d423833373934343231,,,,1.0,,,West,,1 Covered,The property is located next to Hitex exhibition center,Vitrified,Garden/Park,,24 Hours Available,No/Rare Powercut,1.0,,,,,5.0,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹20,000","Ameenpur Road, Hyderabad",2.0,2.0,,150sqyrdsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹133/sqyrd,,Immediately,Unfurnished,Less than 5 years,"₹20,000",,"plot 84/A, Ameenpur Road, Hyderabad - North, Andhra Pradesh",Unfurnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/2-BHK-151-Sq-yrd-Residential-House-FOR-Rent-Ameenpur-Road-in-Hyderabad&id=4d423833373933363837,1.0,,,,,,East,,,Fusion International School ODF Colony,,Garden/Park,"Puja Room, Store",,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹18,000",Sri Balaji Layout,2.0,2.0,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,,,Semi-Furnished,Less than 5 years,"₹18,000",,"Sri Balaji Layout, Hyderabad - North, Andhra Pradesh",Semi-Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Residential-House-FOR-Rent-Sri-Balaji-Layout-in-Hyderabad&id=4d423833373930373931,1.0,,,,,,East,,,Behind new era school Sri Balaji Layout,,Main Road,Puja Room,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 761 Sq-ft For Rent in Sadbhavana,","₹8,500","Ghatkesar, Hyderabad",2.0,2.0,,,1(Out of 9 Floors),,Semi-Furnished,5 to 10 years,"₹8,500","₹17, 000","Sadbhavana Township, Pocharam, Ghatkesar, Hyderabad - Yadadri Bhuvanagiri, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/2-BHK-761-Sq-ft-Multistorey-Apartment-FOR-Rent-Ghatkesar-in-Hyderabad&id=4d423833373837323339,,Sadbhavana,₹ 57.6 Lac Onwards,4.0,761sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹11/sqft,AP Rajivswagruha Corporation Ltd.,South,2.0,4 Covered,1.5 km from INFOSYS..,Normal Tiles/Kotah Stone,Main Road,None of these,24 Hours Available,No/Rare Powercut,2.0,"Fire Fighting Equipment,Cycling & Jogging Track,Multipurpose Courts,Kids Club,Indoor Squash & Badminton Courts,Indoor Games Room,Guest Accommodation,Dance Studio,Bank & ATM,Canopy Walk,Barbeque Pit,AEROBICS ROOM,Outdoor Tennis Courts,Jogging and Strolling Track,Conference Room,Banquet Hall,DTH Television Facility,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",,3 BHK Flats,"27 Towers , 742 Units",,,,,,,,,,,,,,,,,,
"3 BHK  2796 Sq-ft For Rent in Siva Sai Infra Myra,","₹50,000","Pati, Hyderabad",3.0,3.0,2.0,2796sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,,,Semi-Furnished,,"₹50,000|₹5,000Monthly Maintenance",₹1.0 Lac,"Patighanpur, Hyderabad, Pati, Hyderabad - West, Andhra Pradesh",Semi-Furnished,,https://www.magicbricks.com/propertyDetails/3-BHK-2796-Sq-ft-Villa-FOR-Rent-Pati-in-Hyderabad&id=4d423833373838393839,,,₹ 2.41 Cr - ₹ 2.86 Cr,,,,East,,2 Open,"good connectivity to ORR, Financial District, Gachibowli, Intl schools",Vitrified,,Puja Room,24 Hours Available,No/Rare Powercut,,"Badminton court,Aesthetically designed landscape garden,Cricket net practice,Half basketball court,Multipurpose Courts,Meditation Area,Indoor Games Room,Guest Accommodation,Event Space & Amphitheatre,Kids play area,Multipurpose Hall,Grand Entrance lobby,Conference Room,Internet/Wi-Fi Connectivity,Gymnasium,Swimming Pool,Club House,Power Back Up","₹ 8,983 - ₹ 10,045",3 BHK Villas,,2.0,", 133 Units",,,,,,,,,,,,,,,,
3 BHK 1660 Sq-ft Flat/Apartment  For Rent in,"₹22,000","Suchitra, Hyderabad",3.0,3.0,2.0,,3(Out of 5 Floors),,Semi-Furnished,5 to 10 years,"₹22,000",,"Godavari Homes, Gayatri Nagar, Suchitra, Hyderabad - North, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/3-BHK-1660-Sq-ft-Multistorey-Apartment-FOR-Rent-Suchitra-in-Hyderabad&id=4d423833373933383135,,,,,1660sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹13/sqft,,East,,,Opposite Akshara Mansion.,Vitrified,,Puja Room,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK 1000 Sq-ft Flat/Apartment  For Rent in,"₹25,000","Kachiguda, Hyderabad",2.0,2.0,,,3(Out of 5 Floors),Immediately,Semi-Furnished,,"₹25,000",,"Park Rd, Chitrapuri Colony, Barkatpura, Habsiguda, Hyderabad, Andhra Pradesh, Kachiguda, Hyderabad - Central, Andhra Pradesh",Semi-Furnished,,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Kachiguda-in-Hyderabad&id=4d423833373935343233,,,,302.0,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,,North,,302 Covered,Prime location near barkatpura circle,Ceramic Tiles,"Garden/Park, Main Road",,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹15,000","Jonnabanda, Hyderabad",2.0,2.0,2.0,,,,Semi-Furnished,New Construction,"₹15,000",,"Vajra Enclave, Old Alwal, Secunderabad 500010, Jonnabanda, Hyderabad - Secunderabad City, Andhra Pradesh",Semi-Furnished,New Construction,https://www.magicbricks.com/propertyDetails/2-BHK-1400-Sq-ft-Residential-House-FOR-Rent-Jonnabanda-in-Hyderabad&id=4d423833373839383335,,,,,1400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹11/sqft,,North,,,"The House is located in a well maintained colony with nearby by all the commercial, Educational and Banks.",Ceramic Tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹9,500","Santosh Nagar, Hyderabad",2.0,,,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹12/sqft,,Immediately,Semi-Furnished,10 to 15 years,"₹9,500","₹19, 000","73 A, beside 73 MIGH, Santosh Nagar, Hyderabad - Central, Andhra Pradesh",Semi-Furnished,10 to 15 years,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Residential-House-FOR-Rent-Santosh-Nagar-in-Hyderabad&id=4d423833373932343535,1.0,,,,,,East,,,,,Garden/Park,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2 BHK Builder Floor 1500 Sq-ft For Rent in,"₹20,000","Military Dairy Farm Road, Hyderabad",2.0,2.0,,,1(Out of 3 Floors),Immediately,Semi-Furnished,,"₹20,000",,"Laxminarayana ColonyMilitary Dairy Farm rd, Kanajiguda, Secunderabad 50015, Military Dairy Farm Road, Hyderabad - Secunderabad City, Andhra Pradesh",Semi-Furnished,,https://www.magicbricks.com/propertyDetails/2-BHK-1500-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Military-Dairy-Farm-Road-in-Hyderabad&id=4d423833373837373033,,,,,1500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹13/sqft,,East,,1 Open,"ICICI Bank, AWHO Ved Vihar, D mart, Smart bazaar",Marble,,,24 Hours Available,No/Rare Powercut,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹10,000","Almasguda Badangpet, Hyderabad",2.0,3.0,,150sqyrdsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹67/sqyrd,,Immediately,Unfurnished,,"₹10,000","₹20, 000","Almasguda Badangpet, Hyderabad - South, Andhra Pradesh",Unfurnished,,https://www.magicbricks.com/propertyDetails/2-BHK-150-Sq-yrd-Residential-House-FOR-Rent-Almasguda-Badangpet-in-Hyderabad&id=4d423833373930363837,1.0,,,,,,East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 BHK 2000 Sq-ft Flat/Apartment  For Rent in,"₹85,000","Vasanth Nagar Main Road, Hyderabad",4.0,,,2000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹43/sqft,3(Out of 5 Floors),Immediately,Furnished,Less than 5 years,"₹85,000|₹50,000Monthly Maintenance",₹5.0 Lac,"Jntu metro station., Vasanth Nagar Main Road, Hyderabad - North, Andhra Pradesh",Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/4-BHK-2000-Sq-ft-Multistorey-Apartment-FOR-Rent-Vasanth-Nagar-Main-Road-in-Hyderabad&id=4d423833373932393235,1.0,,,,,,,,,,,Main Road,Puja Room,,,,,,,,,,1.0,,,,,,,,,,,,,,,
3 BHK 2600 Sq-ft Flat/Apartment  For Rent in,"₹48,000","Manikonda, Hyderabad",3.0,3.0,3.0,2400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹20/sqft,2(Out of 5 Floors),,Semi-Furnished,5 to 10 years,"₹48,000|₹2,500Monthly Maintenance",,"Anuhar Coral Bells, Road no 20 Alkapuri Township, Manikonda, Hyderabad - West, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/3-BHK-2600-Sq-ft-Multistorey-Apartment-FOR-Rent-Manikonda-in-Hyderabad&id=4d423833373931373939,,,,,,,West,,,,,Main Road,"Puja Room, Study, Store",,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 1000 Sq-ft For Rent in Futnani Towers,","₹28,000","Suchitra Circle, Hyderabad",2.0,2.0,,,3(Out of 10 Floors),,Semi-Furnished,,"₹28,000",,"Suchitra Circle, Hyderabad - North, Andhra Pradesh",Semi-Furnished,,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Suchitra-Circle-in-Hyderabad&id=4d423833373933353635,,Futnani Towers,₹ 59.8 Lac - ₹ 83.0 Lac,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹28/sqft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹25,000","Kismatpur, Hyderabad",2.0,2.0,2.0,,,,Unfurnished,New Construction,"₹25,000",,"Plot 15P, Kismatpur Rd, Bharath Nagar Colony, Kismatpur, Telangana, 500086, India, Kismatpur, Hyderabad - South, Andhra Pradesh",Unfurnished,New Construction,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Residential-House-FOR-Rent-Kismatpur-in-Hyderabad&id=4d423833373936303233,,,,,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹21/sqft,,East,,,Curious Cubs International School,"Ceramic Tiles, Granite",Main Road,"Puja Room, Study",24 Hours Available,No/Rare Powercut,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Builder Floor 1800 Sq-ft For Rent in Balaji Park Town,","₹35,000","Nizampet, Hyderabad",3.0,3.0,,,1(Out of 3 Floors),,Furnished,,"₹35,000",,"Nizampet, Hyderabad - North, Andhra Pradesh",Furnished,,https://www.magicbricks.com/propertyDetails/3-BHK-1800-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Nizampet-in-Hyderabad&id=4d423833373932343631,,Balaji Park Town,₹ 95.0 Lac - ₹ 1.18 Cr,,1800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1550 Sq-ft For Rent in Lakshmi Bhavnas GLC CRIBS,","₹20,000","Lakshmi Bhavnas Glc Cribs, Bachupally, Hyderabad,Lakshmi Bhavnas Glc Cribs, Bachupally, Hyderabad , Hyderabad",3.0,3.0,,,2(Out of 3 Floors),Immediately,Furnished,,"₹20,000",,"Villa No 4 Road No 14, Bhavnas GLC Cribs, MallampetBachupally, Hyderabad, Andhra Pradesh",Furnished,,https://www.magicbricks.com/propertyDetails/3-BHK-1550-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Hyderabad&id=4d423833373837333335,1.0,Lakshmi Bhavnas GLC CRIBS,₹ 1.55 Cr - ₹ 1.60 Cr,,1550sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹13/sqft,,West,,,,Ceramic Tiles,Garden/Park,Puja Room,24 Hours Available,No/Rare Powercut,,,,3 BHK Villas,,,,,,,,,,,,,,,,,,,
3 BHK 1500 Sq-ft Flat/Apartment  For Rent in,"₹30,000","Nizampet, Hyderabad",3.0,3.0,2.0,1600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,3(Out of 4 Floors),Immediately,Semi-Furnished,Less than 5 years,"₹30,000","₹60, 000","Plot No 16, Lake View Colony, Nizampet, Nizampet, Hyderabad - North, Andhra Pradesh",Semi-Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Rent-Nizampet-in-Hyderabad&id=4d423833373935343833,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
2 BHK 1100 Sq-ft Flat/Apartment  For Rent in,"₹26,500","Deepthisri Nagar, Hyderabad",2.0,2.0,2.0,1100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹24/sqft,4(Out of 5 Floors),,Semi-Furnished,New Construction,"₹26,500|₹2,000Monthly Maintenance",₹2,"Deepthisri Nagar near Miyapur, Deepthisri Nagar, Hyderabad - North, Andhra Pradesh",Semi-Furnished,New Construction,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-Deepthisri-Nagar-in-Hyderabad&id=4d423833373936353237,,,,,,,North - West,,,Adj to aditya jalakrishna apartment.,,"Garden/Park, Main Road","Puja Room, Store",,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1595 Sq-ft For Rent in Sai Jyothi Keerthi Signature ,","₹60,000","Kondapur, Hyderabad",3.0,3.0,2.0,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹50/sqft,3(Out of 12 Floors),Immediately,Semi-Furnished,New Construction,"₹60,000",,"Maruti Nagar, Kondapur, Hyderabad - North, Andhra Pradesh",Semi-Furnished,New Construction,https://www.magicbricks.com/propertyDetails/3-BHK-1595-Sq-ft-Multistorey-Apartment-FOR-Rent-Kondapur-in-Hyderabad&id=4d423833373932373533,,Sai Jyothi Keerthi Signature,₹ 1.55 Cr - ₹ 1.84 Cr,,,,East,,,,Vitrified,Main Road,,,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK 1815 Sq-ft Flat/Apartment  For Rent in,₹7.5 Lac,"Khajaguda Nanakramguda Road, Hyderabad",3.0,3.0,3.0,,1(Out of 11 Floors),Immediately,Furnished,New Construction,₹7.5 Lac,,"Niherika exotica, Khajaguda Nanakramguda Road, Hyderabad - West, Andhra Pradesh",Furnished,New Construction,https://www.magicbricks.com/propertyDetails/3-BHK-1815-Sq-ft-Multistorey-Apartment-FOR-Rent-Khajaguda-Nanakramguda-Road-in-Hyderabad&id=4d423833373839323731,,,,,1815sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹413/sqft,,West,,,,,Garden/Park,Puja Room,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 1160 Sq-ft For Rent in Nagarjuna Dreamland,","₹18,000","Kompally, Hyderabad",2.0,2.0,,,3(Out of 5 Floors),,Semi-Furnished,10 to 15 years,"₹18,000","₹36, 000","dhullapally road Kompally Secundrebad-500014, Kompally, Hyderabad - North, Andhra Pradesh",Semi-Furnished,10 to 15 years,https://www.magicbricks.com/propertyDetails/2-BHK-1160-Sq-ft-Multistorey-Apartment-FOR-Rent-Kompally-in-Hyderabad&id=4d423833373837323237,1.0,Nagarjuna Dreamland,₹ 1.01 Cr - ₹ 1.19 Cr,,1160sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹16/sqft,Nagarjuna Homes,,,,,,,,,,,"Piped Gas,Banquet Hall,Intercom Facility,Vaastu Compliant,Security,Swimming Pool,Club House,Lift,Power Back Up",,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 2000 Sq-ft For Rent in Aditya Imperial Heights,","₹52,000","Hafeezpet, Hyderabad",3.0,3.0,,,9(Out of 14 Floors),Immediately,Semi-Furnished,,"₹52,000",,"Hafeezpet, Hyderabad - North, Andhra Pradesh",Semi-Furnished,,https://www.magicbricks.com/propertyDetails/3-BHK-2000-Sq-ft-Multistorey-Apartment-FOR-Rent-Hafeezpet-in-Hyderabad&id=4d423833373930323331,,Aditya Imperial Heights,₹ 95.0 Lac - ₹ 1.40 Cr,,2000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹26/sqft,Aditya Construction Company (P) Ltd.,,,,,,,,,,,"Kids Play Area,Intercom Facility,Visitor Parking,Security,Reserved Parking,Park,Swimming Pool,Club House,Lift,Power Back Up","₹ 7,000 - ₹ 8,000","2, 3 BHK Flats","9 Towers , 985 Units",,,,,,,,,,,,,,,,,,
4 BHK  3000 Sq-ft For Rent in,₹1.0 Lac,"Khajaguda, Hyderabad",4.0,5.0,,3000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,,Immediately,Semi-Furnished,5 to 10 years,"₹1 Lac|₹10,000Monthly Maintenance",₹2.0 Lac,"9a., Khajaguda, Hyderabad - West, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/4-BHK-3000-Sq-ft-Villa-FOR-Rent-Khajaguda-in-Hyderabad&id=4d423833373933373135,1.0,,,2.0,,,East,,2 Covered,Close to reputed schools.,Marble,,"Puja Room, Study",24 Hours Available,No/Rare Powercut,,,,,,1.0,,,,,,,,,,,,,,,,,
1 BHK Builder Floor 600 Sq-ft For Rent in,"₹16,000","Kukatpally, Hyderabad",,,,,2(Out of 3 Floors),,Furnished,,"₹16,000",,"Tulasi nagar, Kukatpally, Hyderabad, Kukatpally, Hyderabad - North, Andhra Pradesh",Furnished,,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Kukatpally-in-Hyderabad&id=4d423833373836373739,1.0,,,,600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹27/sqft,,East,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹10,000","Kondapur, Hyderabad",,,,,,Immediately,Furnished,New Construction,"₹10,000","₹19, 000","Kondapur, Hyderabad - North, Andhra Pradesh",Furnished,New Construction,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Residential-House-FOR-Rent-Kondapur-in-Hyderabad&id=4d423338333730303539,,,,,600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹17/sqft,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
