Title,Rental_Price,Location,Beds,Baths,Balcony,Carpet Area,Floor,Status,Additional Rooms,Furnished Status,Age Of Construction,Rental Value,Security Deposit,Address,Landmarks,Furnishing,Age of Construction,link,Bed,Bath,Facing,Super Built-up Area,Balconies,Flooring,Overlooking,Amenities,Price,Tower & Unit,Developer,Project,Configuration,Water Availability,Status of Electricity,Lift,Car parking,Floors allowed for construction,Type of Ownership,Price per sqft,Unit,Covered Parking,Lifts,Authority Approval,Tower,RERA ID,Plot Area
2 BHK 900 Sq-ft Flat/Apartment  For Rent in,"₹25,000","Rohini, New Delhi",2.0,2.0,,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹28/sqft,2(Out of 4 Floors),Immediately,,Unfurnished,,"₹25,000",,"A2134_135 sector 8  Secand floor, Rohini, New Delhi - North, Delhi NCR",,Unfurnished,,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Rent-Rohini-in-New-Delhi&id=4d423831343738323735,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
4 BHK Builder Floor 4000 Sq-ft For Rent in,₹3.8 Lac,"Greater Kailash Enclave 1, New Delhi",4.0,5.0,,3500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹109/sqft,3(Out of 4 Floors),Immediately,"Puja Room, Study, Servant Room, Store",Semi-Furnished,New Construction,₹3.8 Lac,,"3rd floor with terrace brand new, Greater Kailash Enclave 1, New Delhi - South, Delhi NCR",main road park market metro daily needs store,Semi-Furnished,New Construction,https://www.magicbricks.com/propertyDetails/4-BHK-4000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Greater-Kailash-Enclave-1-in-New-Delhi&id=4d423737373639313037,,,East,,3.0,"Wooden, Marble, Granite",Main Road,,,,,,,,,,,,,,,,,,,,
1 BHK Flat 50 Sq-yrd For Rent in,"₹15,000","Paschim Vihar, New Delhi",,,1.0,50sqyrdsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹300/sqyrd,4(Out of 4 Floors),Immediately,"Puja Room, Store, Study, Servant Room",Furnished,Less than 5 years,"₹15,000|₹200Monthly Maintenance","₹15, 000","Nivedita Enclave apartment Paschim Vihar, Paschim Vihar, New Delhi - West, Delhi NCR",Nivedita Enclave apartment Paschim Vihar Metro station East,Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/1-BHK-50-Sq-yrd-Multistorey-Apartment-FOR-Rent-Paschim-Vihar-in-New-Delhi&id=4d423833363836373039,1.0,1.0,North - East,,,,"Pool, Garden/Park, Main Road",,,,,,,,,,,,,,,,,,,,
"3 BHK 1750 Sq-ft Flat/Apartment  For Rent in DLF Capital Greens 1 and 2,","₹91,000","Moti Nagar, New Delhi",3.0,3.0,,1650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹55/sqft,15(Out of 26 Floors),Immediately,Study,Furnished,,"₹91,000|₹7,000Monthly Maintenance",₹1.4 Lac,"Dlf capital greens., Moti Nagar, New Delhi - West, Delhi NCR",Karam pura moti Nagar metro station,Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/3-BHK-1750-Sq-ft-Multistorey-Apartment-FOR-Rent-Moti-Nagar-in-New-Delhi&id=4d423830303437363139,,,North,,2.0,"Wooden, Marble, Granite","Pool, Garden/Park, Main Road","Fire Fighting Equipment,Cycling & Jogging Track,Outdoor Tennis Courts,Multipurpose Courts,Kids Play Pool With Water Slides,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,CCTV Camera,Multipurpose Hall,Jogging and Strolling Track,Banquet Hall,DTH Television Facility,Internet/Wi-Fi Connectivity,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Vaastu Compliant,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 2.20 Cr - ₹ 6.50 Cr,"23 Towers , 2856 Units",DLF Ltd.,DLF Capital Greens 1 and 2,"2, 3, 4 BHK Flats",24 Hours Available,No/Rare Powercut,2.0,,,,"₹ 8,148 - ₹ 35,938",,1.0,2.0,,,,
4 BHK Builder Floor 2300 Sq-ft For Rent in,₹1.7 Lac,"New Rajendra Nagar, New Delhi",4.0,4.0,,200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹825/sqft,1(Out of 4 Floors),Immediately,"Puja Room, Store",Unfurnished,New Construction,"₹1.7 Lac|₹2,000Monthly Maintenance",₹5.0 Lac,"om sai properties old rajendera nagar new delhi, New Rajendra Nagar, New Delhi - Central, Delhi NCR",neharu park new rajendera nagar new delhi,Unfurnished,New Construction,https://www.magicbricks.com/propertyDetails/4-BHK-2300-Sq-ft-Builder-Floor-Apartment-FOR-Rent-New-Rajendra-Nagar-in-New-Delhi&id=4d423633333635353733,,,South -West,,2.0,"Mosaic, Vitrified, Wooden, Ceramic Tiles, Marble, Normal Tiles/Kotah Stone, Granite, Marbonite","Garden/Park, Main Road",,,,,,,24 Hours Available,,,,,Freehold,,,,,,,,
2 BHK Builder Floor 600 Sq-ft For Rent in,"₹20,000","Laxmi Nagar, New Delhi",2.0,2.0,1.0,550sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹36/sqft,3(Out of 4 Floors),Immediately,None of these,Furnished,Less than 5 years,"₹20,000","₹20, 000","Laxmi Nagar, Laxmi Nagar, New Delhi - East, Delhi NCR",laxmi nagar.,Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/2-BHK-600-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Laxmi-Nagar-in-New-Delhi&id=4d423833313637343535,,,North - East,,,Marble,Main Road,,,,,,,24 Hours Available,No/Rare Powercut,,,4.0,,,,,,,,,
3 BHK Builder Floor 2350 Sq-ft For Rent in,₹2.0 Lac,"Defence Colony, New Delhi",3.0,4.0,,2150sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹93/sqft,Ground(Out of 4 Floors),Immediately,"Store, Servant Room",Semi-Furnished,Less than 5 years,"₹2 Lac|₹10,000Monthly Maintenance",₹3.7 Lac,"Defence Colony, New Delhi - South, Delhi NCR",all embassy near by,Semi-Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/3-BHK-2350-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Defence-Colony-in-New-Delhi&id=4d423734343039383237,,,North - West,,2.0,"Wooden, Marble",Garden/Park,,,,,,,24 Hours Available,No/Rare Powercut,4.0,"1 Covered, 1 Open",,,,,1.0,4.0,,,,
2 BHK Builder Floor 1500 Sq-ft For Rent in,"₹30,000","Pahar Ganj, New Delhi",2.0,3.0,,,1(Out of 2 Floors),Immediately,,Furnished,,"₹30,000",,"Pahar Ganj, New Delhi - Central, Delhi NCR",,Furnished,,https://www.magicbricks.com/propertyDetails/2-BHK-1500-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Pahar-Ganj-in-New-Delhi&id=4d423833313637333539,,,,1500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹20/sqft,,,,,,,,,,,,,,,,,,,,,,,
4 BHK Builder Floor 4500 Sq-ft For Rent in,₹3.0 Lac,"New Friends Colony, New Delhi",4.0,5.0,,3500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹86/sqft,4(Out of 4 Floors),Immediately,"Puja Room, Study, Store, Servant Room",Unfurnished,Less than 5 years,"₹3 Lac|₹10,000Monthly Maintenance",₹5.0 Lac,"new friends colony, New Friends Colony, New Delhi - South, Delhi NCR",,Unfurnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/4-BHK-4500-Sq-ft-Builder-Floor-Apartment-FOR-Rent-New-Friends-Colony-in-New-Delhi&id=4d423633333537393837,,,East,,4.0,"Wooden, Marble",Garden/Park,,,,,,,24 Hours Available,No/Rare Powercut,1.0,"2 Covered, 2 Open",,,,,2.0,,,,,
2 BHK 390 Sq-ft Flat/Apartment  For Rent in,"₹15,000","Kamla Nagar Market, New Delhi",2.0,,1.0,390sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹38/sqft,2(Out of 4 Floors),Immediately,,Furnished,Less than 5 years,"₹15,000","₹15, 000","Kamla Nagar Market, New Delhi - Central, Delhi NCR",,Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/2-BHK-390-Sq-ft-Multistorey-Apartment-FOR-Rent-in-New-Delhi&id=4d423830303535303435,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
