Title,Rental_Price,Location,Beds,Baths,Balcony,Carpet Area,Floor,Status,Additional Rooms,Furnished Status,Age Of Construction,Rental Value,Security Deposit,Address,Landmarks,Furnishing,Age of Construction,link,Bed,Bath,Facing,Super Built-up Area,Balconies,Flooring,Overlooking,Amenities,Price,Tower & Unit,Developer,Project,Configuration,Water Availability,Status of Electricity,Lift,Car parking,Floors allowed for construction,Type of Ownership,Price per sqft,Unit,Covered Parking,Lifts,Authority Approval,Tower,RERA ID,Plot Area
3 BHK Builder Floor 1000 Sq-ft For Rent in,"₹15,000","Uttam Nagar, New Delhi",3.0,2.0,1.0,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹17/sqft,2(Out of 2 Floors),Immediately,Study,Semi-Furnished,New Construction,"₹15,000|₹200Monthly Maintenance","₹30, 000","Rajapuri, Uttam Nagar, New Delhi - West, Delhi NCR",Nearby Raj mandir Rajapuri,Semi-Furnished,New Construction,https://www.magicbricks.com/propertyDetails/3-BHK-1000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Uttam-Nagar-in-New-Delhi&id=4d423833373836303837,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK 25 Sq-ft Flat/Apartment  For Rent in,"₹5,000","Shadipur, New Delhi",,,,22sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹227/sqft,3(Out of 4 Floors),Immediately,,Semi-Furnished,,"₹5,000",,"Baljeet nagar, Mali ram wali gali, Shadipur, New Delhi - West, Delhi NCR",Sanjay Electronics,Semi-Furnished,,https://www.magicbricks.com/propertyDetails/1-BHK-25-Sq-ft-Multistorey-Apartment-FOR-Rent-Shadipur-in-New-Delhi&id=4d423833373931323331,1.0,1.0,East,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK 1400 Sq-ft Flat/Apartment  For Rent in,"₹95,000","Kalkaji, New Delhi",3.0,3.0,,,Ground(Out of 1 Floors),Immediately,,Semi-Furnished,,"₹95,000",,"Kalkaji, New Delhi - South, Delhi NCR",,Semi-Furnished,,https://www.magicbricks.com/propertyDetails/3-BHK-1400-Sq-ft-Multistorey-Apartment-FOR-Rent-Kalkaji-in-New-Delhi&id=4d423833373733383033,,,,1400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹68/sqft,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Builder Floor 1500 Sq-ft For Rent in,"₹13,000","Khanpur, New Delhi",2.0,2.0,,1400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹9/sqft,2(Out of 3 Floors),Immediately,,Semi-Furnished,New Construction,"₹13,000",,"D block, Khanpur, New Delhi - South, Delhi NCR",Near dev medicos chemist.,Semi-Furnished,New Construction,https://www.magicbricks.com/propertyDetails/2-BHK-1500-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Khanpur-in-New-Delhi&id=4d423833373930323139,,,,,2.0,Marble,Main Road,,,,,,,,,,,,,,,,,,,,
2 BHK Builder Floor 1200 Sq-ft For Rent in,"₹60,000","Paschim Vihar Block B5, New Delhi",2.0,2.0,,,4(Out of 4 Floors),Immediately,,Furnished,,"₹60,000",,"Paschim Vihar Block B5, New Delhi - West, Delhi NCR",,Furnished,,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Paschim-Vihar-Block-B5-in-New-Delhi&id=4d423833373734313837,,,,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹50/sqft,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹20,000","Janakpuri, New Delhi",2.0,,1.0,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹22/sqft,,Immediately,,Semi-Furnished,10 to 15 years,"₹20,000","₹20, 000","C4C block flat no 111, Janakpuri, New Delhi - West, Delhi NCR",,Semi-Furnished,10 to 15 years,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Residential-House-FOR-Rent-Janakpuri-in-New-Delhi&id=4d423833373930333635,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK  800 Sq-ft For Rent in DDA Dda Janta Flats,","₹32,000","Kalkaji Extension, New Delhi",2.0,,1.0,700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹46/sqft,,,Store,Furnished,Above 20 years,"₹32,000","₹64, 000","99C dda flats kalkaji, Kalkaji Extension, New Delhi - South, Delhi NCR",,Furnished,Above 20 years,https://www.magicbricks.com/propertyDetails/2-BHK-800-Sq-ft-Residential-House-FOR-Rent-Kalkaji-Extension-in-New-Delhi&id=4d423833373934383233,,1.0,,,,,Main Road,"Fire Fighting Equipment,Kids Play Area,Laundry Service,Maintenance Staff,Visitor Parking,Security,Reserved Parking,Park,Power Back Up",₹ 91.0 Lac - ₹ 1.09 Cr,"11 Towers , 1200 Units",,,,,,,,,,,,,,,,,
2 BHK 50 Sq-ft Flat/Apartment  For Rent in,"₹20,000","Laxmi Nagar, New Delhi",2.0,,1.0,50sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹400/sqft,3(Out of 4 Floors),Immediately,,Semi-Furnished,New Construction,"₹20,000","₹20, 000","Laxmi Nagar, New Delhi - East, Delhi NCR",near Krishna mandir,Semi-Furnished,New Construction,https://www.magicbricks.com/propertyDetails/2-BHK-50-Sq-ft-Multistorey-Apartment-FOR-Rent-Laxmi-Nagar-in-New-Delhi&id=4d423833373832373435,,1.0,West,,,,Garden/Park,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 550 Sq-ft For Rent in DDA Flats Sector 14,","₹30,000","Dwarka, New Delhi",,,1.0,,9(Out of 14 Floors),Immediately,,Furnished,Less than 5 years,"₹30,000|₹1,200Monthly Maintenance","₹60, 000","Dwarka Greens, Dwarka, New Delhi - West, Delhi NCR",,Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Rent-Dwarka-in-New-Delhi&id=4d423833373930353539,1.0,1.0,,550sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹55/sqft,,,"Garden/Park, Main Road","Fire Fighting Equipment,Kids Play Area,Kids Club,Maintenance Staff,Visitor Parking,Security,Reserved Parking,Park,Rain Water Harvesting,Lift,Power Back Up",₹ 2.58 Cr - ₹ 2.99 Cr,"15 Towers , 760 Units",Delhi Development Authority DDA,DDA Flats Sector 14,1 BHK Flat,,,,,,,,,,,,,,
1 BHK Builder Floor 600 Sq-ft For Rent in,"₹35,000","South Extension 2, New Delhi",,,,600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹58/sqft,Upper Basement(Out of 4 Floors),Immediately,,Semi-Furnished,New Construction,"₹35,000",,"South Extension 2, New Delhi - South, Delhi NCR",,Semi-Furnished,New Construction,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Builder-Floor-Apartment-FOR-Rent-South-Extension-2-in-New-Delhi&id=4d423833373835353933,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 405 Sq-ft For Rent in Shivlik Society,","₹8,000","Uttam Nagar West, New Delhi",,,1.0,500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹16/sqft,1(Out of 4 Floors),,,Semi-Furnished,Less than 5 years,"₹8,000",,"Uttam Nagar, New Delhi, Uttam Nagar West, New Delhi - West, Delhi NCR",CCTV Protected,Semi-Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/1-BHK-405-Sq-ft-Multistorey-Apartment-FOR-Rent-Uttam-Nagar-West-in-New-Delhi&id=4d423833373837323531,1.0,1.0,,,,,,"Fire Fighting Equipment,Kids Play Area,Flower Gardens,Banquet Hall,DTH Television Facility,Laundry Service,Waste Disposal,Maintenance Staff,Visitor Parking,Water Storage,Reserved Parking,Park,Rain Water Harvesting,Lift,Power Back Up",₹ 2.58 Cr - ₹ 3.0 Cr,"6 Towers , 150 Units",,Shivlik Society,,,,,,,,,,,,,,,
"1 BHK Flat 400 Sq-ft For Rent in Hindon Apartment,","₹18,000","Vasundhara Enclave, New Delhi",,,1.0,400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹45/sqft,3(Out of 3 Floors),,,Furnished,New Construction,"₹18,000|₹500Monthly Maintenance","₹25, 000","Vasundhara Enclave, New Delhi - East, Delhi NCR",,Furnished,New Construction,https://www.magicbricks.com/propertyDetails/1-BHK-400-Sq-ft-Multistorey-Apartment-FOR-Rent-Vasundhara-Enclave-in-New-Delhi&id=4d423833373932333935,1.0,1.0,,,,,,"Fire Fighting Equipment,Rentable Community Space,Meditation Area,Kids Play Area,Kids Club,Flower Gardens,Maintenance Staff,Visitor Parking,Water Storage,Security,Reserved Parking,Park,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 1.50 Cr - ₹ 1.70 Cr,"4 Towers , 96 Units",Adlakha Associates,Hindon Apartment,2 BHK Flat,,,,,,,,,,,,,,
3 BHK 800 Sq-ft Flat/Apartment  For Rent in,"₹15,000","Burari, New Delhi",3.0,,1.0,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,2(Out of 4 Floors),Immediately,,Unfurnished,New Construction,"₹15,000",,"b block, Hanuman kunj, sant nagar, Burari, New Delhi - North, Delhi NCR",,Unfurnished,New Construction,https://www.magicbricks.com/propertyDetails/3-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Rent-Burari-in-New-Delhi&id=4d423833373737333533,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK 450 Sq-ft Flat/Apartment  For Rent in,"₹9,000","Uttam Nagar, New Delhi",,,,300sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹30/sqft,Ground(Out of 4 Floors),Immediately,,Semi-Furnished,Less than 5 years,"₹9,000|₹300Monthly Maintenance","₹9, 000","Sainik Nagar Nawada Uttam Nagar, Uttam Nagar, New Delhi - West, Delhi NCR",,Semi-Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Rent-Uttam-Nagar-in-New-Delhi&id=4d423833373932323435,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹10,000","Shiv Park Kakrola, New Delhi",,,1.0,200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹50/sqft,,Immediately,,Semi-Furnished,Less than 5 years,"₹10,000|₹500Monthly Maintenance","₹10, 000","Shiv Park Kakrola, New Delhi - West, Delhi NCR",,Semi-Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/1-BHK-200-Sq-ft-Residential-House-FOR-Rent-in-New-Delhi&id=4d423833373739343937,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK Flat 700 Sq-ft For Rent in,"₹22,000","Rajouri Garden, New Delhi, New Delhi",,,,,2(Out of 2 Floors),Immediately,,Furnished,15 to 20 years,"₹22,000","₹22, 000","New Delhi, Delhi NCR",,Furnished,15 to 20 years,https://www.magicbricks.com/propertyDetails/1-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Rent-in-New-Delhi&id=4d423833373930393731,1.0,1.0,South - East,700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹31/sqft,,Mosaic,Garden/Park,,,,,,,2 Hours Available,No/Rare Powercut,,,,,,,,,,,,
2 BHK Builder Floor 800 Sq-ft For Rent in,"₹18,000","Shadipur, New Delhi",2.0,2.0,,,2(Out of 4 Floors),Immediately,,Furnished,,"₹18,000",,"Shadipur, New Delhi - West, Delhi NCR",,Furnished,,https://www.magicbricks.com/propertyDetails/2-BHK-800-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Shadipur-in-New-Delhi&id=4d423833373930323333,,,,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹22/sqft,,,,,,,,,,,,,,,,,,,,,,,
1 BHK 475 Sq-ft Flat/Apartment  For Rent in,"₹8,000","Saurabh Vihar, New Delhi",,,,,Ground(Out of 3 Floors),Immediately,,Unfurnished,New Construction,"₹8,000",,"near Bharat public school, Saurabh Vihar, New Delhi - South, Delhi NCR",bharat public school,Unfurnished,New Construction,https://www.magicbricks.com/propertyDetails/1-BHK-475-Sq-ft-Multistorey-Apartment-FOR-Rent-Saurabh-Vihar-in-New-Delhi&id=4d423833373934373131,1.0,1.0,North,475sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹17/sqft,,,,,,,,,,,,,,,,,,,,,,,
3 BHK Builder Floor 1200 Sq-ft For Rent in,"₹23,000","Block 22 Tilak Nagar, New Delhi",3.0,3.0,,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,2(Out of 4 Floors),Immediately,,Semi-Furnished,,"₹23,000","₹45, 000","Block 22 Tilak Nagar, New Delhi - West, Delhi NCR",MRV public school,Semi-Furnished,,https://www.magicbricks.com/propertyDetails/3-BHK-1200-Sq-ft-Builder-Floor-Apartment-FOR-Rent-in-New-Delhi&id=4d423833373733353939,,,East,,2.0,,Main Road,,,,,,,,,,,,,,,,,,,,
"4 BHK Flat 2000 Sq-ft For Rent in New Jai Bharat Apartment,","₹35,000","Dwarka, New Delhi",4.0,2.0,,,8(Out of 9 Floors),Immediately,,Furnished,15 to 20 years,"₹35,000|₹2,000Monthly Maintenance","₹70, 000","Dwarka, New Delhi - West, Delhi NCR",,Furnished,15 to 20 years,https://www.magicbricks.com/propertyDetails/4-BHK-2000-Sq-ft-Multistorey-Apartment-FOR-Rent-Dwarka-in-New-Delhi&id=4d423833373735383639,,,,2000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,2.0,,,"Cycling & Jogging Track,Kids Play Area,Flower Gardens,Jogging and Strolling Track,Visitor Parking,Security,Reserved Parking,Park",₹ 3.02 Cr - ₹ 3.52 Cr,"4 Towers , 110 Units",Cooperative Group Housing Society,New Jai Bharat Apartment,4 BHK Flat,,,,,,,,,,,,,,
2 BHK 100 Sq-ft Flat/Apartment  For Rent in,"₹12,000","Shadipur, New Delhi",2.0,,,100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹120/sqft,Ground(Out of 4 Floors),Immediately,,Unfurnished,5 to 10 years,"₹12,000",,"Shadipur, New Delhi - West, Delhi NCR",,Unfurnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/2-BHK-100-Sq-ft-Multistorey-Apartment-FOR-Rent-Shadipur-in-New-Delhi&id=4d423833373831313239,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK Residential House  For Rent,"₹7,500","Shiv Vihar, New Delhi",3.0,2.0,1.0,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹8/sqft,,Immediately,,Semi-Furnished,Less than 5 years,"₹7,500","₹7, 500","karawal nagar shiv vihar phase 1 near talent coaching centre, Shiv Vihar, New Delhi - North, Delhi NCR",,Semi-Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/3-BHK-900-Sq-ft-Residential-House-FOR-Rent-Shiv-Vihar-in-New-Delhi&id=4d423833373739323035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK Builder Floor 1800 Sq-ft For Rent in,"₹37,000","New Multan Nagar, New Delhi",3.0,2.0,,,1(Out of 1 Floors),,Study,Unfurnished,10 to 15 years,"₹37,000",,"d-42 Multan nagar, New Multan Nagar, New Delhi - West, Delhi NCR",,Unfurnished,10 to 15 years,https://www.magicbricks.com/propertyDetails/3-BHK-1800-Sq-ft-Builder-Floor-Apartment-FOR-Rent-New-Multan-Nagar-in-New-Delhi&id=4d423833373837333435,,,East,1800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹21/sqft,2.0,,Garden/Park,,,,,,,,,,,,,,,,,,,,
2 BHK 1100 Sq-ft Flat/Apartment  For Rent in,"₹45,000","Sector 3 Dwarka, New Delhi",2.0,2.0,1.0,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹38/sqft,9(Out of 9 Floors),Immediately,,Furnished,5 to 10 years,"₹45,000",,"292., Sector 3 Dwarka, New Delhi - West, Delhi NCR",NSIT and DDU college,Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-Dwarka-Sector-3-in-New-Delhi&id=4d423833373934313337,,,North - East,,,,"Main Road, Garden/Park",,,,,,,,,,,,,,,,,,,,
3 BHK 1124 Sq-ft Flat/Apartment  For Rent in,"₹35,000","Jaunapur, New Delhi",3.0,3.0,1.0,1124sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹31/sqft,3(Out of 4 Floors),Immediately,,Semi-Furnished,New Construction,"₹35,000|₹2,400Monthly Maintenance","₹70, 000","Jaunapur, New Delhi - South, Delhi NCR",Near Neem Karoli Baba temple,Semi-Furnished,New Construction,https://www.magicbricks.com/propertyDetails/3-BHK-1124-Sq-ft-Multistorey-Apartment-FOR-Rent-Jaunapur-in-New-Delhi&id=4d423833373936323735,,,East,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK Builder Floor 65 Sq-ft For Rent in,"₹22,000","Dwarka Mor, New Delhi",,,1.0,65sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹338/sqft,Ground(Out of 1 Floors),Immediately,Study,Furnished,,"₹22,000|₹1,000Monthly Maintenance","₹22, 000","Dwarka Mor, New Delhi - West, Delhi NCR",,Furnished,,https://www.magicbricks.com/propertyDetails/1-BHK-65-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Dwarka-Mor-in-New-Delhi&id=4d423833373833373235,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK 700 Sq-ft Flat/Apartment  For Rent in,"₹13,000","Indra Enclave, New Delhi",2.0,2.0,,,1(Out of 5 Floors),Immediately,,Furnished,,"₹13,000",,"D 35-c., Indra Enclave, New Delhi - South, Delhi NCR",,Furnished,,https://www.magicbricks.com/propertyDetails/2-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Rent-Indra-Enclave-in-New-Delhi&id=4d423833373830383235,,,,700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,,,,,,,,,,,,,,,,,,,,,,,
1 BHK 630 Sq-ft Flat/Apartment  For Rent in,"₹8,000","Phase 2 Vijay Vihar, New Delhi",,,1.0,450sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,3(Out of 4 Floors),Immediately,,Semi-Furnished,5 to 10 years,"₹8,000|₹100Monthly Maintenance","₹8, 000","Street No 9 F Block, Phase 2 Vijay Vihar, New Delhi - North, Delhi NCR",,Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/1-BHK-630-Sq-ft-Multistorey-Apartment-FOR-Rent-Phase-2-Vijay-Vihar-in-New-Delhi&id=4d423833373836393135,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK Flat 500 Sq-ft For Rent in,"₹23,000","Dwarka sector 19, New Delhi",,,1.0,499sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹46/sqft,1(Out of 4 Floors),Immediately,,Furnished,New Construction,"₹23,000",,"746 Akshardham Apartment, New Delhi, Delhi NCR",,Furnished,New Construction,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Rent-in-New-Delhi&id=4d423833373836393935,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1400 Sq-ft For Rent in Rajnigandha Apartments,","₹31,500","Sector 10 Dwarka, New Delhi",3.0,2.0,,1350sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹23/sqft,4(Out of 4 Floors),,,Semi-Furnished,10 to 15 years,"₹31,500",,"Sector 10 Dwarka, New Delhi - West, Delhi NCR",,Semi-Furnished,10 to 15 years,https://www.magicbricks.com/propertyDetails/3-BHK-1400-Sq-ft-Multistorey-Apartment-FOR-Rent-Dwarka-Sector-10-in-New-Delhi&id=4d423833373836313837,,,,,3.0,,Garden/Park,"Cycling & Jogging Track,Retail Boulevard (Retail Shops),Flower Gardens,Concierge Services,Coffee Lounge & Restaurants,Canopy Walk,Barbeque Pit,Conference Room,DTH Television Facility,Waste Disposal,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 2.65 Cr - ₹ 2.94 Cr,"5 Towers , 120 Units",Cooperative Group Housing Society,Rajnigandha Apartments,3 BHK Flat,,,,,,,,,,,,,,
2 BHK Builder Floor 900 Sq-ft For Rent in,"₹50,000","Malviya Nagar, New Delhi",2.0,2.0,,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹67/sqft,2(Out of 3 Floors),Immediately,Puja Room,Unfurnished,15 to 20 years,"₹50,000|₹500Monthly Maintenance",₹1.0 Lac,"1230., Malviya Nagar, New Delhi - South, Delhi NCR",Main Market,Unfurnished,15 to 20 years,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Malviya-Nagar-in-New-Delhi&id=4d423833363930393239,,,East,,3.0,Marble,Garden/Park,,,,,,,24 Hours Available,No/Rare Powercut,,1 Open,3.0,,,,,,,,,
4 BHK Residential House  For Rent,"₹6,000","Mukherjee Nagar, New Delhi",4.0,4.0,,,4(Out of 4 Floors),Immediately,,Furnished,,"₹6,000",,"Mukherjee Nagar, New Delhi - North, Delhi NCR",,Furnished,,https://www.magicbricks.com/propertyDetails/4-BHK-200-Sq-yrd-Residential-House-FOR-Rent-Mukerjee-Nagar-in-New-Delhi&id=4d423535333431343331,,,,200sqyrdsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹3/sqft,,,,,,,,,,,,,,,,,,,,,,,
3 BHK Builder Floor 1000 Sq-ft For Rent in,"₹35,000","Vasant Kunj, New Delhi",3.0,2.0,,,2(Out of 5 Floors),Immediately,,Semi-Furnished,,"₹35,000",,"Vasant Kunj, New Delhi - South, Delhi NCR",,Semi-Furnished,,https://www.magicbricks.com/propertyDetails/3-BHK-1000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Vasant-Kunj-in-New-Delhi&id=4d423735383834383339,,,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹35/sqft,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Flat 1300 Sq-ft For Rent in,"₹40,000","DDA, New Delhi",2.0,2.0,1.0,1100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹36/sqft,2(Out of 4 Floors),Immediately,Store,Unfurnished,5 to 10 years,"₹40,000|₹700Monthly Maintenance","₹80, 000","pkt-L, DDA, New Delhi - West, Delhi NCR",,Unfurnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/2-BHK-1300-Sq-ft-Multistorey-Apartment-FOR-Rent-in-New-Delhi&id=4d423830383634353839,,,North - East,,,,Garden/Park,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹5,000","Mithapur Extension, New Delhi",2.0,,1.0,450sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹11/sqft,,Immediately,,Semi-Furnished,,"₹5,000",,"Mithapur Extension, New Delhi - South, Delhi NCR",,Semi-Furnished,,https://www.magicbricks.com/propertyDetails/2-BHK-450-Sq-ft-Residential-House-FOR-Rent-Mithapur-Extension-in-New-Delhi&id=4d423639333432303537,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK Flat 1200 Sq-ft For Rent in,"₹36,000","Janakpuri, New Delhi",3.0,3.0,,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹30/sqft,Ground(Out of 3 Floors),Immediately,None of these,Unfurnished,5 to 10 years,"₹36,000","₹72, 000","C1A Janakpuri, Janakpuri, New Delhi - West, Delhi NCR",c1a market,Unfurnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/3-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Janakpuri-in-New-Delhi&id=4d423830313036303537,,,East,,2.0,"Ceramic Tiles, Marble",Garden/Park,,,,,,,24 Hours Available,No/Rare Powercut,,1 Open,,,,,,,,,,
