Title,Rental_Price,Location,Beds,Baths,Balconies,Carpet Area,Project,Floor,Status,Additional Rooms,Facing,Furnished Status,Age Of Construction,Rental Value,Security Deposit,Address,Landmarks,Furnishing,Overlooking,Age of Construction,Price,link,Super Built-up Area,Developer,Amenities,Price per sqft,Configuration,Tower & Unit,Bed,Bath,Covered Parking,Car parking,Flooring,Water Availability,Status of Electricity,Lifts,Lift,Balcony,Floors allowed for construction,Tower,Unit,Type of Ownership,RERA ID,Authority Approval,Plot Area,No of Open Sides,Any Construction done,Boundary Wall,Transaction Type,Additional Features
"4 BHK Flat 1250 Sq-ft For Rent in Shaligram Pavillia,","₹32,000","Gahunje, Pune",4.0,3.0,2.0,983sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,Shaligram Pavillia,7(Out of 18 Floors),Immediately,"Puja Room, Study",West,Semi-Furnished,New Construction,"₹32,000","₹50, 000","Shaligram Pavillia, Flat No-D701, Near Lodha Belmondo, Village-Gahunje, Taluka - Maval, District - Pune - 412101, Gahunje, Pune - Western Outskirts, Maharashtra",Near Lodha Belmondo,Semi-Furnished,Garden/Park,New Construction,₹ 51.2 Lac - ₹ 62.0 Lac,https://www.magicbricks.com/propertyDetails/4-BHK-1250-Sq-ft-Multistorey-Apartment-FOR-Rent-Gahunje-in-Pune&id=4d423833373838393739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 750 Sq-ft For Rent in VTP Aethereus,","₹24,500","Mahalunge, Pune",2.0,2.0,,,VTP Aethereus,18(Out of 35 Floors),Immediately,,,Semi-Furnished,,"₹24,500",,"Mahalunge, Pune - West, Maharashtra",,Semi-Furnished,,,₹ 70.0 Lac - ₹ 1.20 Cr,https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Mahalunge-in-Pune&id=4d423833373836393835,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,VTP Realty,"Multipurpose Courts,Kids play area,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Lift","₹ 7,143 - ₹ 8,167","2, 3 BHK Flats","5 Towers , 718 Units",,,,,,,,,,,,,,,,,,,,,,
1 BHK Flat 780 Sq-ft For Rent in,"₹18,000","Sai preetam villa, Rajyog colony, Akurdi ,Ravet, Pune",,,,,,1(Out of 4 Floors),,,,Semi-Furnished,,"₹18,000",,"Pune, Maharashtra",,Semi-Furnished,,,,https://www.magicbricks.com/propertyDetails/1-BHK-780-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Pune&id=4d423833373934313633,780sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹23/sqft,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 913 Sq-ft For Rent in Sarisha,","₹22,000","Punawale, Pune",2.0,2.0,3.0,,Sarisha,10(Out of 10 Floors),Immediately,,East,Semi-Furnished,5 to 10 years,"₹22,000","₹55, 000","Punawale, Pune - Pimpri Chinchwad Municipal Corporation, Maharashtra",,Semi-Furnished,,5 to 10 years,₹ 78.0 Lac - ₹ 94.9 Lac,https://www.magicbricks.com/propertyDetails/2-BHK-913-Sq-ft-Multistorey-Apartment-FOR-Rent-Punawale-in-Pune&id=4d423833373930343933,913sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹24/sqft,Sai Samarttha Properties,"Rentable Community Space,Multipurpose Courts,Meditation Area,Kids Play Pool With Water Slides,Kids Play Area,Flower Gardens,AEROBICS ROOM,Banquet Hall,Waste Disposal,Intercom Facility",,"2, 3 BHK Flat","2 Towers , 116 Units",,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 1200 Sq-ft For Rent in Kolte Patil Life Republic Sector R10 10th Avenue Universe Phase II,","₹30,000","Manjari Khurd, Pune",2.0,2.0,,,Kolte Patil Life Republic Sector R10 10th Avenue Universe Phase II,2(Out of 22 Floors),,,North - East,Semi-Furnished,,"₹30,000",,"life republic R-10 kolte patil universe, Manjari Khurd, Pune - Eastern Outskirts, Maharashtra",In front of canvas life republic.,Semi-Furnished,,,₹ 87.0 Lac - ₹ 97.1 Lac,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Manjari-Khurd-in-Pune&id=4d423833373933383739,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,,,,,,,,205.0,205 Covered,Ceramic Tiles,24 Hours Available,No/Rare Powercut,,,,,,,,,,,,,,,
"3 BHK Flat 1600 Sq-ft For Rent in Magarpatta Riverview City Falcon Towers,","₹30,000","Loni Kalbhor Gaon, Pune",3.0,3.0,2.0,1199sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,Magarpatta Riverview City Falcon Towers,17(Out of 21 Floors),Immediately,,East,Semi-Furnished,,"₹30,000",₹1.0 Lac,"Loni Kalbhor, Pune, Loni Kalbhor Gaon, Pune - Southern Outskirts, Maharashtra",,Semi-Furnished,Garden/Park,,₹ 90.4 Lac - ₹ 1.11 Cr,https://www.magicbricks.com/propertyDetails/3-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Rent-Loni-Kalbhor-Gaon-in-Pune&id=4d423833373837353033,,Magarpatta City Group,"Community Hall,Lawn with pathway,Aesthetically designed landscape garden,Cricket net practice,Half basketball court,Volleyball court,Fire Fighting Equipment,Cycling & Jogging Track,Multipurpose Courts,Meditation Area,Indoor Games Room,Kids play area,Barbeque space,Fire Sprinklers,CCTV Camera,Mini Cinema Theatre,Piped Gas,Cafeteria/Food Court,Vaastu Compliant,Security,Reserved Parking,Park,Gymnasium,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 7,333 - ₹ 1.0 Lac","2, 3 BHK Flats","7 Towers , 1169 Units",,,2.0,2 Covered,Vitrified,24 Hours Available,No/Rare Powercut,4.0,4.0,,,,,,,,,,,,,
1 BHK 850 Sq-ft Flat/Apartment  For Rent in,"₹10,000","Wagholi, Pune",,,,630sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹16/sqft,,1(Out of 4 Floors),Immediately,,,Semi-Furnished,New Construction,"₹10,000|₹200Monthly Maintenance","₹20, 000","katkewadi, wagholi, Wagholi, Pune - East, Maharashtra",,Semi-Furnished,,New Construction,,https://www.magicbricks.com/propertyDetails/1-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Rent-Wagholi-in-Pune&id=4d423833373930393935,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
3 BHK 1015 Sq-ft Flat/Apartment  For Rent in,"₹45,000","Viman Nagar Central, Pune",3.0,3.0,,884sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹51/sqft,,2(Out of 4 Floors),,,,Furnished,,"₹45,000",,"Viman Nagar Central, Pune - East, Maharashtra",,Furnished,Main Road,,,https://www.magicbricks.com/propertyDetails/3-BHK-1015-Sq-ft-Multistorey-Apartment-FOR-Rent-Viman-Nagar-in-Pune&id=4d423833373837353635,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
4 BHK 3200 Sq-ft Flat/Apartment  For Rent in,"₹75,000","Baner, Pune",4.0,4.0,3.0,2600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹29/sqft,,7(Out of 12 Floors),Immediately,,,Semi-Furnished,New Construction,"₹75,000",₹2.0 Lac,"Baner, Pune - West, Maharashtra",,Semi-Furnished,,New Construction,,https://www.magicbricks.com/propertyDetails/4-BHK-3200-Sq-ft-Multistorey-Apartment-FOR-Rent-Baner-in-Pune&id=4d423833373836343835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1780 Sq-ft For Rent in Yash Orchid,","₹34,000","Mohan Nagar Co operative Society, Pune",3.0,3.0,3.0,1424sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹24/sqft,Yash Orchid,1(Out of 9 Floors),Immediately,,East,Semi-Furnished,10 to 15 years,"₹34,000",,"Off Bangalore Mumbai highway service road, behind Supreme Estado, Lane next to Tata Motors showroom, Mohan Nagar Co operative Society, Pune - West, Maharashtra","In the lane next to Tata Motors showroom, behind Supreme Estado",Semi-Furnished,Garden/Park,10 to 15 years,₹ 1.45 Cr Onwards,https://www.magicbricks.com/propertyDetails/3-BHK-1780-Sq-ft-Multistorey-Apartment-FOR-Rent-Mohan-Nagar-Co-operative-Society-in-Pune&id=4d423833373839333231,,Yash Promoters And Builders,"Kids Play Area,Indoor Games Room,Event Space & Amphitheatre,Jogging and Strolling Track,Banquet Hall,DTH Television Facility,Intercom Facility,Security,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Power Back Up",,3 BHK Flats,"4 Towers , 54 Units",,,2.0,2 Covered,Ceramic Tiles,,,,,,,,,,,,,,,,,
2 BHK 830 Sq-ft Flat/Apartment  For Rent in,"₹20,000","NIBM Road, Pune",2.0,2.0,,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹31/sqft,,3(Out of 4 Floors),Immediately,,East,Semi-Furnished,Above 20 years,"₹20,000",,"NIBM Road, Pune - South, Maharashtra",,Semi-Furnished,Garden/Park,Above 20 years,,https://www.magicbricks.com/propertyDetails/2-BHK-830-Sq-ft-Multistorey-Apartment-FOR-Rent-NIBM-Road-in-Pune&id=4d423833373935313735,,,,,,,,,,,"Wooden, Marble",,,,,,,,,,,,,,,,,
"2 BHK Flat 1000 Sq-ft For Rent in Gulmohar Paradise Homes,","₹38,000","Kharadi Gaon, Pune",2.0,2.0,,803sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹47/sqft,Gulmohar Paradise Homes,2(Out of 5 Floors),,,West,Furnished,10 to 15 years,"₹38,000|₹2,200Monthly Maintenance","₹75, 000","Kharadi, Pune, Kharadi Gaon, Pune - Eastern Outskirts, Maharashtra",property is close to the kharadi IT park ..,Furnished,"Garden/Park, Main Road",10 to 15 years,₹ 58.7 Lac - ₹ 96.0 Lac,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Kharadi-Gaon-in-Pune&id=4d423833373839393933,,Gulmohar Constructions,"Piped Gas,DTH Television Facility,Maintenance Staff,Intercom Facility,Visitor Parking,Vaastu Compliant,Water Storage,Security,Reserved Parking,Park,Club House,Lift,Power Back Up",,2 BHK Flat,,,,,,Ceramic Tiles,24 Hours Available,No/Rare Powercut,,1.0,1.0,5.0,1 Tower,,,,,,,,,,
"4 BHK Flat 1438 Sq-ft For Rent in 57 Midtown,","₹60,000","Wakad, Pune",4.0,4.0,2.0,1438sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹42/sqft,57 Midtown,10(Out of 22 Floors),,,,Unfurnished,New Construction,"₹60,000",₹1.2 Lac,"57 Midtown, Wakad, Pune - Pimpri Chinchwad Municipal Corporation, Maharashtra",,Unfurnished,,New Construction,₹ 1.24 Cr - ₹ 2.48 Cr,https://www.magicbricks.com/propertyDetails/4-BHK-1438-Sq-ft-Multistorey-Apartment-FOR-Rent-Wakad-in-Pune&id=4d423833373934363833,,Sonigara Homes,"Fire Fighting Equipment,Indoor Games Room,CCTV Camera,3 Tier Security System,Intercom Facility,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Rain Water Harvesting,Lift,Power Back Up",,"3, 4 BHK Flat","1 Tower , 196 Units",,,,,,,,,,,15.0,,,,,,,,,,,
2 BHK 900 Sq-ft Flat/Apartment  For Rent in,"₹40,000","Bhusari Colony, Pune",2.0,2.0,,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹44/sqft,,3(Out of 4 Floors),,,,Furnished,10 to 15 years,"₹40,000",,"Right Bhusari, Bhusari Colony, Pune - West, Maharashtra",Near siya girls hostel,Furnished,,10 to 15 years,,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Rent-Bhusari-Colony-in-Pune&id=4d423833373839343239,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
2 BHK 1000 Sq-ft Flat/Apartment  For Rent in,"₹35,000","Baner-Balewadi Road, Pune",2.0,2.0,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹35/sqft,,9(Out of 11 Floors),,Store,North - East,Semi-Furnished,Less than 5 years,"₹35,000",,"Trimurti Elina, Baner-Balewadi Road, Pune - West, Maharashtra",,Semi-Furnished,Pool,Less than 5 years,,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Baner-Balewadi-Road-in-Pune&id=4d423833373930323535,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
"1 BHK Flat 600 Sq-ft For Rent in Varad Vaishnavi 2 ,","₹11,000","Vadgaon, Pune",,,,600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,Varad Vaishnavi 2,1(Out of 4 Floors),Immediately,,,Unfurnished,Less than 5 years,"₹11,000|₹2,000Monthly Maintenance","₹15, 000","Vadgaon, Pune - Southern Outskirts, Maharashtra",,Unfurnished,,Less than 5 years,₹ 28.2 Lac - ₹ 41.0 Lac,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Vadgaon-in-Pune&id=4d423833373837343533,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
1 BHK  650 Sq-ft For Rent in,"₹7,000","Shree ram society, Pune",,,,,,,Immediately,,,Unfurnished,,"₹7,000",,"Pune, Maharashtra",,Unfurnished,,,,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Residential-House-FOR-Rent-in-Pune&id=4d423833373936323535,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹11/sqft,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1257 Sq-ft For Rent in Vastushree Adrina Phase 1,","₹37,000","Mundhwa, Pune",3.0,3.0,2.0,,Vastushree Adrina Phase 1,6(Out of 12 Floors),,,East,Semi-Furnished,5 to 10 years,"₹37,000","₹74, 000","Mundhwa, Pune - East, Maharashtra",Orbis School.,Semi-Furnished,Main Road,5 to 10 years,₹ 1.52 Cr - ₹ 1.98 Cr,https://www.magicbricks.com/propertyDetails/3-BHK-1257-Sq-ft-Multistorey-Apartment-FOR-Rent-Mundhwa-in-Pune&id=4d423833373933343231,1257sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹29/sqft,Vastushree Developers,,,,,,,,,,,,,,,,,", 150 Units",,,,,,,,,
"3 BHK Flat 1265 Sq-ft For Rent in Vilas Javdekar YashOne Eternitee,","₹33,000","Hinjewadi, Pune",3.0,3.0,3.0,885sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹37/sqft,Vilas Javdekar YashOne Eternitee,12(Out of 22 Floors),Immediately,Puja Room,,Semi-Furnished,,"₹33,000","₹66, 000","Hinjewadi Phase 2, High Mont Road, Hinjewadi, Pune - Pimpri Chinchwad Municipal Corporation, Maharashtra",,Semi-Furnished,"Pool, Garden/Park, Main Road",,₹ 80.7 Lac - ₹ 1.14 Cr,https://www.magicbricks.com/propertyDetails/3-BHK-1265-Sq-ft-Multistorey-Apartment-FOR-Rent-Hinjewadi-in-Pune&id=4d423833373930343939,,Vilas Javdekar Developers,"Event Space & Amphitheatre,Multipurpose Hall,Outdoor Tennis Courts,Jogging and Strolling Track,Conference Room,Banquet Hall,Internet/Wi-Fi Connectivity,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Service/Goods Lift,Vaastu Compliant,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",,"2, 3 BHK Flat","5 Towers , 1021 Units",,,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 740 Sq-ft For Rent in Defence Colony Phase 4,","₹21,000","Wagholi, Pune",,2.0,2.0,660sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹32/sqft,Defence Colony Phase 4,11(Out of 11 Floors),Immediately,,North,Furnished,New Construction,"₹21,000","₹45, 000","wagholi, Wagholi, Pune - East, Maharashtra",near DMart,Furnished,"Pool, Garden/Park, Main Road",New Construction,₹ 65.0 Lac - ₹ 1.10 Cr,https://www.magicbricks.com/propertyDetails/1-BHK-740-Sq-ft-Multistorey-Apartment-FOR-Rent-Wagholi-in-Pune&id=4d423833373934373733,,Supertech Constructions,"Fire Fighting Equipment,Kids Play Area,Kids Club,Jogging and Strolling Track,Waste Disposal,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Park,Gymnasium,Club House,Rain Water Harvesting,Power Back Up","₹ 4,100 - ₹ 6,154","2, 3, 4 BHK Flats","4 Towers , 140 Units",1.0,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 750 Sq-ft For Rent in Kohinoor Abhimaan Homes,","₹9,500","Shirgaon, Pune",2.0,2.0,2.0,560sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹17/sqft,Kohinoor Abhimaan Homes,5(Out of 12 Floors),Immediately,,East,Unfurnished,Less than 5 years,"₹9,500","₹15, 000","near prati shirdi mandir, abhiman homes, Wing B-503, Shirgaon, Pune - Western Outskirts, Maharashtra","Prati Shirdi Mandir, Shirgaon",Unfurnished,"Pool, Garden/Park, Main Road",Less than 5 years,₹ 36.0 Lac - ₹ 53.3 Lac,https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Shirgaon-in-Pune&id=4d423833373838323235,,Kohinoor Group,"Badminton court,Multipurpose Courts,Kids Club,Indoor Games Room,Barbeque Pit,Kids play area,Solar Energy,Multipurpose Hall,Skydeck,Infinity Swimming Pool,Maintenance Staff,Lift","₹ 3,781 - ₹ 6,762","1, 2 BHK Flats","15 Towers , 1452 Units",,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 1086 Sq-ft For Rent in Selene Park,","₹16,000","Hadapsar, Pune",2.0,2.0,,,Selene Park,5(Out of 10 Floors),,,,Unfurnished,,"₹16,000",,"Hadapsar, Pune - East, Maharashtra",,Unfurnished,,,₹ 25.5 Lac - ₹ 45.0 Lac,https://www.magicbricks.com/propertyDetails/2-BHK-1086-Sq-ft-Multistorey-Apartment-FOR-Rent-Hadapsar-in-Pune&id=4d423833373839353339,1086sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹15/sqft,Siddhivinayak Group,"Fire Fighting Equipment,Activity Deck4,Retail Boulevard (Retail Shops),Rentable Community Space,Outdoor Tennis Courts,Multipurpose Courts,Meditation Area,Library And Business Centre,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Conference Room,DTH Television Facility,Internet/Wi-Fi Connectivity,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 4,144 - ₹ 4,622","1, 2 BHK Flats","3 Towers , 144 Units",,,,,,,,,,,,,,,,,,,,,,
1 BHK 650 Sq-ft Flat/Apartment  For Rent in,"₹23,000","Wakad Chowk Road, Pune",,,2.0,,,2(Out of 5 Floors),Immediately,,,Semi-Furnished,New Construction,"₹23,000",,"Wakad, Wakad Chowk Road, Pune - Pimpri Chinchwad Municipal Corporation, Maharashtra",Pink city,Semi-Furnished,"Garden/Park, Main Road",New Construction,,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Wakad-Chowk-Road-in-Pune&id=4d423833373837373035,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹35/sqft,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 600 Sq-ft For Rent in Satyam Shivam Phase II,","₹38,000","Kharadi, Pune",2.0,2.0,,,Satyam Shivam Phase II,5(Out of 5 Floors),,,,Furnished,,"₹38,000",,"Kharadi, Pune - East, Maharashtra",,Furnished,,,₹ 55.1 Lac - ₹ 79.8 Lac,https://www.magicbricks.com/propertyDetails/2-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Kharadi-in-Pune&id=4d423833373930333137,600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹63/sqft,Satyam Group,"Kids Play Area,Indoor Games Room,CCTV Camera,Solar Energy,Piped Gas,Intercom Facility,Visitor Parking,Security,Reserved Parking,Gymnasium,Rain Water Harvesting,Lift,Power Back Up",,,"2 Towers , 56 Units",,,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 650 Sq-ft For Rent in Dangat Corner,","₹15,000","Kiwale, Pune",,2.0,2.0,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹23/sqft,Dangat Corner,2(Out of 6 Floors),,,,Semi-Furnished,5 to 10 years,"₹15,000|₹1,400Monthly Maintenance","₹30, 000","Kiwale, Kiwale, Pune - Pimpri Chinchwad Municipal Corporation, Maharashtra","mc donalds, HP petrol pump, Bank of baroda",Semi-Furnished,Main Road,5 to 10 years,₹ 66.1 Lac - ₹ 76.1 Lac,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Kiwale-in-Pune&id=4d423833373932363339,,Aakar Developers,"Fire Fighting Equipment,Retail Boulevard (Retail Shops),Kids Play Area,DTH Television Facility,Waste Disposal,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Rain Water Harvesting,Lift,Power Back Up",,,"1 Tower , 46 Units",1.0,,,,,,,,,,,,,,,,,,,,,
2 BHK 686 Sq-ft Flat/Apartment  For Rent in,"₹15,000","Pisoli, Pune",2.0,2.0,,,,14(Out of 14 Floors),Immediately,,,Unfurnished,New Construction,"₹15,000",,"Pisoli, Pune - South, Maharashtra",,Unfurnished,,New Construction,,https://www.magicbricks.com/propertyDetails/2-BHK-686-Sq-ft-Multistorey-Apartment-FOR-Rent-Pisoli-in-Pune&id=4d423833373934393535,686sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹22/sqft,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 920 Sq-ft For Rent in GK Silverland Residency Phase 1,","₹23,500","Ravet, Pune",2.0,2.0,,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹36/sqft,GK Silverland Residency Phase 1,3(Out of 11 Floors),,,,Semi-Furnished,5 to 10 years,"₹23,500","₹50, 000","Dadasaheb sahastrabuddhe path, in front of bhondwe lawns near Santosh water park, Ravet- Pimpri Chinchwad, Ravet, Pune - Pimpri Chinchwad Municipal Corporation, Maharashtra",,Semi-Furnished,,5 to 10 years,₹ 25.0 Lac - ₹ 52.6 Lac,https://www.magicbricks.com/propertyDetails/2-BHK-920-Sq-ft-Multistorey-Apartment-FOR-Rent-Ravet-in-Pune&id=4d423833373930383531,,GK Associates,"Fire Fighting Equipment,Meditation Area,Kids Play Area,Indoor Games Room,Waste Disposal,Vaastu Compliant,Security,Reserved Parking,Park,Gymnasium,Club House,Rain Water Harvesting,Lift,Power Back Up",,"1, 2, 3 BHK Flat","7 Towers , 538 Units",,,,,,,,,,1.0,,,,,,,,,,,,
"3 BHK Flat 2070 Sq-ft For Rent in Marvel Zephyr,",₹8.0 Lac,"Kharadi, Pune",3.0,4.0,,1900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹421/sqft,Marvel Zephyr,6(Out of 12 Floors),,Store,East,Furnished,,₹8 Lac,₹2.5 Lac,"Kharadi, Pune, Kharadi, Pune - East, Maharashtra",,Furnished,Garden/Park,5 to 10 years,₹ 2.07 Cr - ₹ 9.96 Cr,https://www.magicbricks.com/propertyDetails/3-BHK-2070-Sq-ft-Multistorey-Apartment-FOR-Rent-Kharadi-in-Pune&id=4d423833373930373939,,Marvel Realtors,"Fire Fighting Equipment,Cycling & Jogging Track,Recreational Pool,Multipurpose Courts,Meditation Area,Kids Play Area,Kids Club,Indoor Games Room,Flower Gardens,Event Space & Amphitheatre,Grand Entrance lobby,Golf Course,Outdoor Tennis Courts,Jogging and Strolling Track,Conference Room,Cafeteria/Food Court,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Intercom Facility,Visitor Parking,Vaastu Compliant,Security,Reserved Parking,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 7,134 - ₹ 7,976","3, 4 BHK Penthouse, Flats","19 Towers , 240 Units",,,2.0,2 Covered,"Ceramic Tiles, Marble, Wooden",24 Hours Available,No/Rare Powercut,2.0,2.0,1.0,1.0,,,,,,,,,,,
"2 BHK Flat 850 Sq-ft For Rent in Ayaan Society ,","₹35,000","Wagholi, Pune",2.0,2.0,,700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹50/sqft,Ayaan Society,5(Out of 12 Floors),,,,Furnished,Less than 5 years,"₹35,000",₹1.0 Lac,"Ayaan gandhi bafna next to Tata showroom opposite Ryan international school, Wagholi, Pune - East, Maharashtra",,Furnished,,Less than 5 years,₹ 55.0 Lac - ₹ 86.0 Lac,https://www.magicbricks.com/propertyDetails/2-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Rent-Wagholi-in-Pune&id=4d423833373839383237,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
