Title,Rental_Price,Location,Beds,Baths,Balconies,Carpet Area,Project,Floor,Status,Additional Rooms,Facing,Furnished Status,Age Of Construction,Rental Value,Security Deposit,Address,Landmarks,Furnishing,Overlooking,Age of Construction,Price,link,Super Built-up Area,Developer,Amenities,Price per sqft,Configuration,Tower & Unit,Bed,Bath,Covered Parking,Car parking,Flooring,Water Availability,Status of Electricity,Lifts,Lift,Balcony,Floors allowed for construction,Tower,Unit,Type of Ownership,RERA ID,Authority Approval,Plot Area,No of Open Sides,Any Construction done,Boundary Wall,Transaction Type,Additional Features
2 BHK Flat 1300 Sq-ft For Rent in,"₹55,000","Law College Road, Pune",2.0,2.0,,850sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹65/sqft,,2(Out of 7 Floors),Immediately,None of these,East,Unfurnished,Less than 5 years,"₹55,000|₹2,500Monthly Maintenance",₹2.0 Lac,"law collage road, Law College Road, Pune - Central, Maharashtra",Near law college pune.,Unfurnished,Main Road,Less than 5 years,,https://www.magicbricks.com/propertyDetails/2-BHK-1300-Sq-ft-Multistorey-Apartment-FOR-Rent-Law-College-Road-in-Pune&id=4d423831353239363135,,,,,,,,,1.0,"1 Covered, 1 Open",Vitrified,24 Hours Available,No/Rare Powercut,2.0,2.0,1.0,,,,,,,,,,,,
"2 BHK 950 Sq-ft Flat/Apartment  For Rent in Magarpatta City Iris,","₹38,000","Hadapsar, Pune",2.0,2.0,,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹51/sqft,Magarpatta City Iris,3(Out of 9 Floors),Immediately,None of these,North,Furnished,,"₹38,000","₹70, 000","Hadapsar, Pune, Hadapsar, Pune - East, Maharashtra",Walking distance from Magarpatta DC center and Pentagon Tower,Furnished,"Garden/Park, Main Road",10 to 15 years,₹ 80.0 Lac Onwards,https://www.magicbricks.com/propertyDetails/2-BHK-950-Sq-ft-Multistorey-Apartment-FOR-Rent-Hadapsar-in-Pune&id=4d423833373737363633,,Magarpattacity,"Smart Home,Hilltop,Water Front,Sky Villa,Wine Cellar,Private Garage,Fingerprint Access,Health club with Steam / Jaccuzi,Theme based Architectures,Skydeck,Sea facing,Golf Course,Private jaccuzi,Private pool,Helipad,Concierge Services,House help accommodation,Full Glass Wall,Island Kitchen Layout,Wrap Around Balcony,Skyline View,Downtown,Outdoor Tennis Courts,Jogging and Strolling Track,Piped Gas,Conference Room,Cafeteria/Food Court,Bar/Lounge,Banquet Hall,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",,2 BHK Flats,"3 Towers , 135 Units",,,1.0,1 Covered,"Marble, Normal Tiles/Kotah Stone, Vitrified, Wooden",24 Hours Available,No/Rare Powercut,2.0,2.0,1.0,9.0,,,,,,,,,,,
1 BHK Flat 510 Sq-ft For Rent in,"₹13,000","Mahabubabad, Pune",,,,510sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,,2(Out of 5 Floors),Immediately,,North,Unfurnished,10 to 15 years,"₹13,000","₹30, 000","C-201, Adhya Sankalp Society, Gaikwad Nagar, Dighi, Pune, Maharashtra",Behind Polite Panorama,Unfurnished,"Garden/Park, Main Road",10 to 15 years,,https://www.magicbricks.com/propertyDetails/1-BHK-510-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Pune&id=4d423833363934343439,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
450 Sq-ft For Rent in,"₹6,000","Phursungi, Pune",,,,,,5(Out of 6 Floors),Immediately,,,Unfurnished,,"₹6,000",,"Phursungi, Pune - Southern Outskirts, Maharashtra",,Unfurnished,,,,https://www.magicbricks.com/propertyDetails/450-Sq-ft-Studio-Apartment-FOR-Rent-Phursungi-in-Pune&id=4d423639343634343339,450sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹13/sqft,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 520 Sq-ft For Rent in Suyojana Society,","₹7,500","Koregaon Park, Pune",,,,,Suyojana Society,1(Out of 4 Floors),Immediately,,,Furnished,,"₹7,500",,"Koregaon Park, Koregaon Park, Pune - Central, Maharashtra",,Furnished,,,₹ 2.49 Cr - ₹ 3.84 Cr,https://www.magicbricks.com/propertyDetails/1-BHK-520-Sq-ft-Multistorey-Apartment-FOR-Rent-Koregaon-Park-in-Pune&id=4d423633393730313939,520sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹14/sqft,,,,3 BHK Flat,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
"3 BHK 1600 Sq-ft Flat/Apartment  For Rent in Camellia,","₹40,000","Pashan, Pune",3.0,3.0,3.0,1185sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹34/sqft,Camellia,6(Out of 11 Floors),,None of these,East,Unfurnished,10 to 15 years,"₹40,000",₹1.0 Lac,"Baner Pashan Link Road, Pune, Pashan, Pune - West, Maharashtra",Near Kumar Peninsula Baner Pashan link road,Unfurnished,"Garden/Park, Pool",10 to 15 years,₹ 1.35 Cr - ₹ 1.67 Cr,https://www.magicbricks.com/propertyDetails/3-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Rent-Pashan-in-Pune&id=4d423833373737373535,,,"Kids Play Area,Gymnasium,Swimming Pool",,2 BHK Flat,"1 Tower , 16 Units",,,1.0,1 Covered,Vitrified,24 Hours Available,No/Rare Powercut,2.0,2.0,,11.0,,,,,,,,,,,
"1 BHK Flat 650 Sq-ft For Rent in Sundar Sankul,","₹25,500","North Hadapsar, Pune",,,,,Sundar Sankul,2(Out of 7 Floors),Immediately,,,Semi-Furnished,,"₹25,500",,"North Hadapsar, Pune - East, Maharashtra",,Semi-Furnished,,,₹ 48.0 Lac Onwards,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-North-Hadapsar-in-Pune&id=4d423833373737363139,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹39/sqft,,,,1 BHK Flats,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
"2 BHK 1050 Sq-ft Flat/Apartment  For Rent in VTP Aethereus,","₹23,999","Mahalunge, Pune",2.0,2.0,,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹32/sqft,VTP Aethereus,20(Out of 35 Floors),Immediately,None of these,East,Semi-Furnished,,"₹23,999","₹50, 000","VTP aethereus, mahalunge, Pune 411045, Mahalunge, Pune - West, Maharashtra",Maan - Mahalunge Township,Semi-Furnished,"Pool, Garden/Park",New Construction,₹ 70.0 Lac - ₹ 1.20 Cr,https://www.magicbricks.com/propertyDetails/2-BHK-1050-Sq-ft-Multistorey-Apartment-FOR-Rent-Mahalunge-in-Pune&id=4d423833333132363731,,VTP Realty,"Multipurpose Courts,Kids play area,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Lift","₹ 7,143 - ₹ 8,167","2, 3 BHK Flats","5 Towers , 718 Units",,,1.0,1 Covered,Ceramic Tiles,24 Hours Available,No/Rare Powercut,3.0,3.0,1.0,,,,,,,,,,,,
"3 BHK Flat 1350 Sq-ft For Rent in Aero Lifespace ,","₹25,000","Undri, Pune",3.0,3.0,,1002sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,Aero Lifespace,3(Out of 11 Floors),Immediately,,West,Unfurnished,New Construction,"₹25,000","₹50, 000","Flat 301, Undri, Pune - South, Maharashtra",,Unfurnished,"Garden/Park, Main Road",New Construction,Call For Price,https://www.magicbricks.com/propertyDetails/3-BHK-1350-Sq-ft-Multistorey-Apartment-FOR-Rent-Undri-in-Pune&id=4d423830313339393533,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
2 BHK Flat 1300 Sq-ft For Rent in,"₹32,000","Dhanori, Pune",2.0,2.0,,980sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,,5(Out of 12 Floors),Immediately,None of these,East,Furnished,5 to 10 years,"₹32,000","₹90, 000","Tirupati Kashiganga, Dhanori, Pune - North, Maharashtra","This property is close to vishrantwadi, lohegaon, Tingrenagar, Viman n",Furnished,Main Road,5 to 10 years,,https://www.magicbricks.com/propertyDetails/2-BHK-1300-Sq-ft-Multistorey-Apartment-FOR-Rent-Dhanori-in-Pune&id=4d423833343234323239,,,,,,,,,1.0,1 Covered,Vitrified,24 Hours Available,No/Rare Powercut,2.0,2.0,1.0,12.0,,,,,,,,,,,
