Title,Rental_Price,Location,Beds,Baths,Balcony,Carpet Area,Status,Furnished Status,Rental Value,Security Deposit,Address,Landmarks,Furnishing,link,Bath,Super Built-up Area,Floor,Age Of Construction,Age of Construction,Balconies,Project,Facing,Overlooking,Additional Rooms,Price,Developer,Amenities,Price per sqft,Configuration,Tower & Unit,Covered Parking,Lifts,Car parking,Water Availability,Status of Electricity,Floors allowed for construction,Lift,Bed,Flooring,Authority Approval,Unit,Type of Ownership,RERA ID,Tower,Plot Area,Any Construction done,Boundary Wall,Transaction Type,Additional Features,Approved,Floor allowed,Floors allowed
2 BHK Residential House  For Rent,"₹12,000","Mundapara, Kolkata",2.0,,,450sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹27/sqft,Immediately,Semi-Furnished,"₹12,000","₹30, 000","anandapur Ruby, Mundapara, Kolkata - South 24 Parganas District, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-550-Sq-ft-Residential-House-FOR-Rent-in-Kolkata&id=4d423731383433313739,1.0,,,New Construction,New Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Builder Floor 750 Sq-ft For Rent in,"₹16,000","Ganguly Bagan, Kolkata",2.0,2.0,,,Immediately,Semi-Furnished,"₹16,000",,"Ganguly Bagan, Kolkata - South, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Ganguly-Bagan-in-Kolkata&id=4d423734303939333831,,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹21/sqft,2(Out of 4 Floors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Flat 700 Sq-ft For Rent in,"₹20,000","Kasba, Kolkata",2.0,,1.0,600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,Immediately,Furnished,"₹20,000","₹40, 000","kasba main road beside DPS school near acropolis mall kasba Kolkata, Kasba, Kolkata - South, West Bengal",kasba DPS school near acropolis mall kasba Kolkata,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Rent-Kasba-in-Kolkata&id=4d423833333930393439,1.0,,1(Out of 4 Floors),Less than 5 years,Less than 5 years,,,South - East,Main Road,"Puja Room, Store, Study, Servant Room",,,,,,,,,,,,,,,,,,Freehold,1974,,,,,,,,,
2 BHK Flat 1200 Sq-ft For Rent in,"₹18,000","Tollygunge, Kolkata",2.0,,1.0,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,Immediately,Semi-Furnished,"₹18,000","₹18, 000","Tollygunge, Kolkata - South, West Bengal",tollygunge metro,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Tollygunge-in-Kolkata&id=4d423332383636353933,1.0,,2(Out of 5 Floors),New Construction,New Construction,,,South - East,"Garden/Park, Main Road, Pool",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK Builder Floor 850 Sq-ft For Rent in,"₹16,000","Dhakuria, Kolkata",3.0,2.0,,,Immediately,Unfurnished,"₹16,000",,"Dhakuria, Kolkata - South, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-850-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Dhakuria-in-Kolkata&id=4d423638373334373931,,850sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,1(Out of 4 Floors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK 1700 Sq-ft Flat/Apartment  For Rent in,₹1.7 Lac,"Alipore, Kolkata",3.0,3.0,,1400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹118/sqft,Immediately,Furnished,"₹1.7 Lac|₹3,000Monthly Maintenance",,"Alipore, Kolkata - Central, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1700-Sq-ft-Multistorey-Apartment-FOR-Rent-Alipore-in-Kolkata&id=4d423638373237383839,,,3(Out of 6 Floors),Less than 5 years,Less than 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 970 Sq-ft For Rent in Saket Nagar,","₹14,000","Bonhooghly, Kolkata",2.0,2.0,1.0,,Immediately,Unfurnished,"₹14,000",,"127 B T Road, Saket Nagar, Dunlop, Bonhooghly, Kolkata - North, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-970-Sq-ft-Multistorey-Apartment-FOR-Rent-Bonhooghly-in-Kolkata&id=4d423632353334353937,,970sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹14/sqft,2(Out of 4 Floors),,,,Saket Nagar,South - East,Garden/Park,None of these,₹ 80.0 Lac Onwards,Saket Promoters,"Fire Fighting Equipment,Meditation Area,Kids Play Area,Indoor Games Room,DTH Television Facility,Waste Disposal,Maintenance Staff,Visitor Parking,Water Storage,Security,Reserved Parking,Rain Water Harvesting,Lift",,3 BHK Flats,"8 Towers , 128 Units",1.0,,1 Covered,,,,,,Marble,,,,,,,,,,,,,
"3 BHK 2050 Sq-ft Flat/Apartment  For Rent in Upohar The Condoville,","₹55,000","EM Bypass, Kolkata",3.0,3.0,,,Immediately,Unfurnished,"₹55,000",₹1.1 Lac,"E M Bypass, EM Bypass, Kolkata - South, West Bengal",Peerless Hospital,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-2050-Sq-ft-Multistorey-Apartment-FOR-Rent-EM-Bypass-in-Kolkata&id=4d423830373236393439,,2050sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹27/sqft,9(Out of 18 Floors),10 to 15 years,10 to 15 years,2.0,Upohar The Condoville,South - East,"Garden/Park, Main Road",,₹ 44.0 Lac - ₹ 3.50 Cr,Ambuja Neotia,"Fire Fighting Equipment,Multipurpose Courts,Library And Business Centre,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,CCTV Camera,Multipurpose Hall,Grand Entrance lobby,Outdoor Tennis Courts,Jogging and Strolling Track,Piped Gas,Conference Room,Cafeteria/Food Court,Internet/Wi-Fi Connectivity,Waste Disposal,Intercom Facility,Visitor Parking,Vaastu Compliant,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 5,263 - ₹ 9,669","2, 3, 4 BHK Flats","14 Towers , 1272 Units",,,,,,,,,,,,Freehold,,,,,,,,,,
"3 BHK Flat 1068 Sq-ft For Rent in Club Residenza,","₹15,000","Narayanpur, Kolkata",3.0,,,,Immediately,Furnished,"₹15,000|₹1,700Monthly Maintenance","₹15, 000","Narayanpur, Kolkata - North 24 Parganas District, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1068-Sq-ft-Multistorey-Apartment-FOR-Rent-Narayanpur-in-Kolkata&id=4d423734313139303437,,1068sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹14/sqft,5(Out of 5 Floors),,,,Club Residenza,,,,₹ 68.1 Lac - ₹ 94.2 Lac,JPK Enclave Pvt. Ltd.,"Fire Fighting Equipment,Retail Boulevard (Retail Shops),Outdoor Tennis Courts,Kids Play Area,Kids Club,Indoor Games Room,Guest Accommodation,Flower Gardens,Conference Room,Banquet Hall,DTH Television Facility,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",,,"3 Towers , 62 Units",,,,,,,,,,,,,,,,,,,,,,
2 BHK Builder Floor 900 Sq-ft For Rent in,"₹15,000","Pragati Park, Kolkata",2.0,2.0,,,Immediately,Furnished,"₹15,000",,"Pragati Park, Kolkata - South 24 Parganas District, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Pragati-Park-in-Kolkata&id=4d423734313234323931,,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹17/sqft,2(Out of 3 Floors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
