Title,Rental_Price,Location,Beds,Baths,Balcony,Carpet Area,Status,Furnished Status,Rental Value,Security Deposit,Address,Landmarks,Furnishing,link,Bath,Super Built-up Area,Floor,Age Of Construction,Age of Construction,Balconies,Project,Facing,Overlooking,Additional Rooms,Price,Developer,Amenities,Price per sqft,Configuration,Tower & Unit,Covered Parking,Lifts,Car parking,Water Availability,Status of Electricity,Floors allowed for construction,Lift,Bed,Flooring,Authority Approval,Unit,Type of Ownership,RERA ID,Tower,Plot Area,Any Construction done,Boundary Wall,Transaction Type,Additional Features,Approved,Floor allowed,Floors allowed
3 BHK Residential House  For Rent,"₹20,000","Nagerbazar, Kolkata",3.0,2.0,1.0,850sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹24/sqft,Immediately,Unfurnished,"₹20,000","₹40, 000","Nagerbazar, Kolkata - North, West Bengal",Diamond Plaza Mall,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1000-Sq-ft-Residential-House-FOR-Rent-Nagerbazar-in-Kolkata&id=4d423833373930303733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650 Sq-ft For Rent in,"₹10,000","Salkia School Road, Kolkata",,,,,Immediately,Semi-Furnished,"₹10,000",,"Krishna mohan mitra lane., Salkia School Road, Kolkata - Howrah District, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/650-Sq-ft-Studio-Apartment-FOR-Rent-in-Kolkata&id=4d423833373931333439,1.0,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹15/sqft,Ground(Out of 2 Floors),5 to 10 years,5 to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1470 Sq-ft For Rent in Chinar Tower,","₹21,000","Chinar Park, Kolkata",3.0,2.0,,1290sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹16/sqft,,Semi-Furnished,"₹21,000|₹1,500Monthly Maintenance","₹25, 000","Kolkata, Chinar Park, Kolkata - North, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1470-Sq-ft-Multistorey-Apartment-FOR-Rent-Chinar-Park-in-Kolkata&id=4d423833373831313131,,,1(Out of 5 Floors),New Construction,New Construction,2.0,Chinar Tower,South -West,"Garden/Park, Main Road",Puja Room,₹ 91.6 Lac - ₹ 1.21 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1370 Sq-ft For Rent in DTC Southern Heights,","₹25,000","Joka, Kolkata",3.0,3.0,,956sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹26/sqft,,Semi-Furnished,"₹25,000","₹50, 000","Joka, Kolkata - South, West Bengal",Vivekananda Mission School Joka,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1370-Sq-ft-Multistorey-Apartment-FOR-Rent-Joka-in-Kolkata&id=4d423833373835373533,,,2(Out of 14 Floors),Less than 5 years,Less than 5 years,2.0,DTC Southern Heights,South,Garden/Park,,₹ 55.1 Lac - ₹ 91.4 Lac,DTC Projects Pvt. Ltd.,"Fire Fighting Equipment,Cycling & Jogging Track,Retail Boulevard (Retail Shops),Meditation Area,Library And Business Centre,Kids Play Pool With Water Slides,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Coffee Lounge & Restaurants,AEROBICS ROOM,CCTV Camera,Multipurpose Hall,Grand Entrance lobby,Health club with Steam / Jaccuzi,Earth quake resistant,Golf Course,Jogging and Strolling Track,Conference Room,Banquet Hall,DTH Television Facility,Internet/Wi-Fi Connectivity,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Vaastu Compliant,Water Storage,Security,Reserved Parking,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 5,415 - ₹ 8,000","2, 3 BHK Flats","28 Towers , 612 Units",,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 720 Sq-ft For Rent in Realtech The Indianaq,","₹12,500","Rajarhat, Kolkata",2.0,2.0,1.0,600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹21/sqft,,Unfurnished,"₹12,500",,"Near DPS Megacity, New Town, Kalikapur, Rajarhat, Kolkata - North, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-720-Sq-ft-Multistorey-Apartment-FOR-Rent-Rajarhat-in-Kolkata&id=4d423833373930373937,,,3(Out of 4 Floors),,,,Realtech The Indianaq,South - East,"Pool, Garden/Park, Main Road",,₹ 18.5 Lac - ₹ 63.0 Lac,Realtech Group,"Fire Fighting Equipment,Cycling & Jogging Track,Outdoor Tennis Courts,Kids Play Area,CCTV Camera,Multipurpose Hall,Jogging and Strolling Track,Visitor Parking,Security,Reserved Parking,Gymnasium,Lift,Power Back Up",,,"6 Towers , 180 Units",,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1300 Sq-ft For Rent in Unimark Lakewood Estate,","₹45,000","Baishnabghata Patuli Township, Kolkata",3.0,3.0,,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹38/sqft,,Semi-Furnished,"₹45,000",,"Baishnabghata Patuli Township, Kolkata - South, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1300-Sq-ft-Multistorey-Apartment-FOR-Rent-Baishnabghata-Patuli-Township-in-Kolkata&id=4d423833373732383939,,,14(Out of 18 Floors),New Construction,New Construction,2.0,Unimark Lakewood Estate,,Garden/Park,,₹ 79.1 Lac - ₹ 1.36 Cr,Unimark Group,"Fire Fighting Equipment,Cycling & Jogging Track,Meditation Area,Kids Play Area,Indoor Games Room,Event Space & Amphitheatre,CCTV Camera,Mini Cinema Theatre,Jogging and Strolling Track,Banquet Hall,Intercom Facility,Security,Gymnasium,Swimming Pool,Club House,Lift",,"2, 3, 4 BHK Flat","6 Towers , 450 Units",,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1623 Sq-ft For Rent in Himadri,","₹60,000","Shyam Bazar, Kolkata",3.0,2.0,,,,Semi-Furnished,"₹60,000",,"Shyam Bazar, Kolkata, Shyam Bazar, Kolkata - North, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1623-Sq-ft-Multistorey-Apartment-FOR-Rent-Shyam-Bazar-in-Kolkata&id=4d423833373734323239,,1623sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹37/sqft,3(Out of 18 Floors),5 to 10 years,5 to 10 years,2.0,Himadri,,Main Road,Servant Room,₹ 2.21 Cr - ₹ 2.87 Cr,Ginni Realty,"Fire Fighting Equipment,Located in the Heart of city,Jogging and Strolling Track,Conference Room,Bar/Lounge,Banquet Hall,Maintenance Staff,Visitor Parking,Water Storage,Security,Reserved Parking,Gymnasium,Rain Water Harvesting,Lift,Power Back Up",,"3, 4 BHK Flat","1 Tower , 85 Units",14.0,3.0,14 Covered,24 Hours Available,No/Rare Powercut,1.0,3.0,,,,,,,,,,,,,,,
3 BHK 1500 Sq-ft Flat/Apartment  For Rent in,"₹25,000","Anandapur, Kolkata",3.0,2.0,1.0,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹21/sqft,Immediately,Unfurnished,"₹25,000",,"Anandapur, Anandapur, Kolkata - East, West Bengal",Ruby general hospital,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Rent-Anandapur-in-Kolkata&id=4d423833373734323539,,,3(Out of 4 Floors),New Construction,New Construction,,,North,Garden/Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 BHK Builder Floor 550 Sq-ft For Rent in Alaktika Complex,","₹15,500","New Town, Kolkata",,,,,Immediately,Furnished,"₹15,500",,"New Town, Kolkata - East, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Builder-Floor-Apartment-FOR-Rent-New-Town-in-Kolkata&id=4d423833373835373833,1.0,550sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹28/sqft,3(Out of 4 Floors),,,,Alaktika Complex,,,,₹ 35.5 Lac - ₹ 1.60 Cr,Bengal Peerless Housing,"Fire Fighting Equipment,Kids Play Area,Intercom Facility,Reserved Parking","₹ 6,455 - ₹ 7,149",4 BHK Flats,"11 Towers , 390 Units",,,,,,,,1.0,,,,,,,,,,,,,,
"3 BHK Flat 920 Sq-ft For Rent in Magnolia Enjoy,","₹14,000","Rajarhat Main Road, Kolkata",3.0,2.0,1.0,852sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹16/sqft,Immediately,Semi-Furnished,"₹14,000",,"Buroshibtalla, Bishnupur, Rajarhat Main Road, Kolkata - North 24 Parganas District, West Bengal",Buroshibtalla Temple,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-920-Sq-ft-Multistorey-Apartment-FOR-Rent-Rajarhat-Main-Road-in-Kolkata&id=4d423833373831383435,,,1(Out of 4 Floors),Less than 5 years,Less than 5 years,,Magnolia Enjoy,West,"Main Road, Garden/Park",,₹ 29.3 Lac - ₹ 41.6 Lac,Magnolia Infrastructure Development Ltd.,"CCTV Camera,Intercom Facility,Gymnasium,Lift,Power Back Up",,2 BHK Flats,"2 Towers , 56 Units",,,,,,,,,Normal Tiles/Kotah Stone,,,,,,,,,,,,,
"2 BHK Flat 980 Sq-ft For Rent in Sgil Orchid,","₹20,000","Rajarhat, Kolkata",2.0,2.0,1.0,,,Semi-Furnished,"₹20,000",,"Rajarhat, Rajarhat, Kolkata - North, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-980-Sq-ft-Multistorey-Apartment-FOR-Rent-Rajarhat-in-Kolkata&id=4d423833373735373333,,980sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹20/sqft,2(Out of 5 Floors),5 to 10 years,5 to 10 years,,Sgil Orchid,South,"Garden/Park, Main Road",Puja Room,₹ 68.1 Lac - ₹ 94.2 Lac,Aamra Infra,"Fire Fighting Equipment,Retail Boulevard (Retail Shops),Kids Play Area,Kids Club,Conference Room,DTH Television Facility,Laundry Service,Waste Disposal,Maintenance Staff,Visitor Parking,Water Storage,Security,Reserved Parking,Park,Gymnasium,Club House,Lift",,,"4 Towers , 74 Units",,,,,,,,,,,,,,,,,,,,,,
"400 Sq-ft For Rent in Neelkanth Chitrakut Heights,","₹7,000","New Town, Kolkata",,,,400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,Immediately,Semi-Furnished,"₹7,000",,"tapan water and verity store, New Town, Kolkata - East, West Bengal",chitrakoot heights,Semi-Furnished,https://www.magicbricks.com/propertyDetails/400-Sq-ft-Studio-Apartment-FOR-Rent-New-Town-in-Kolkata&id=4d423833373836393631,,,2(Out of 3 Floors),Less than 5 years,Less than 5 years,,Neelkanth Chitrakut Heights,East,,,₹ 61.0 Lac - ₹ 77.5 Lac,Neelkanth Nirman Pvt. Ltd.,"Kids Splash Pool,Community Hall,Sand pit,Lawn with pathway,Aesthetically designed landscape garden,Community entrance gate,Cricket net practice,Fire Fighting Equipment,Cycling & Jogging Track,Retail Boulevard (Retail Shops),Multipurpose Courts,Meditation Area,Library And Business Centre,Kids Play Pool With Water Slides,Indoor Games Room,Flower Gardens,Event Space & Amphitheatre,Curated Garden,Kids play area,Barbeque space,CCTV Camera,Multipurpose Hall,Health club with Steam / Jaccuzi,Skydeck,Pool with temperature control,Jogging and Strolling Track,Cafeteria/Food Court,RO Water System,Intercom Facility,Visitor Parking,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Lift,Power Back Up","₹ 4,318 - ₹ 6,862","2, 3 BHK Flats","2 Towers , 150 Units",,,,,,,,,,,,,,,,,,,,,,
2 BHK 998 Sq-ft Flat/Apartment  For Rent in,"₹15,000","Behara, Kolkata",2.0,2.0,1.0,,Immediately,Unfurnished,"₹15,000",,"18 Nala Pukur Lane, Kolkata-700034, Behara, Kolkata - Nadia District, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-998-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Kolkata&id=4d423833373832333835,,998sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹15/sqft,4(Out of 5 Floors),Less than 5 years,Less than 5 years,,,,Main Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK 850 Sq-ft Flat/Apartment  For Rent in,"₹25,000","Panihati, Kolkata",2.0,2.0,1.0,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,,Furnished,"₹25,000|₹600Monthly Maintenance","₹50, 000","Panihati, Kolkata - North 24 Parganas District, West Bengal",Udayan Sangha Play Ground,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Rent-Panihati-in-Kolkata&id=4d423833373836323731,,,3(Out of 4 Floors),Less than 5 years,Less than 5 years,,,South - East,Garden/Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK Flat 140 Sq-ft For Rent in,"₹15,000","Action Area 2, Kolkata",,,1.0,140sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹107/sqft,Immediately,Furnished,"₹15,000","₹30, 000","Action area 2 CE Block Newtown street 222 near tank no 6, Action Area 2, Kolkata - East, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-140-Sq-ft-Multistorey-Apartment-FOR-Rent-Action-Area-2-in-Kolkata&id=4d423833373930363039,1.0,,1(Out of 3 Floors),Less than 5 years,Less than 5 years,,,,"Garden/Park, Main Road",,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
3 BHK 1500 Sq-ft Flat/Apartment  For Rent in,"₹28,500","Gopal Nagar, Kolkata",3.0,2.0,1.0,1400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹20/sqft,Immediately,Semi-Furnished,"₹28,500|₹500Monthly Maintenance","₹28, 500","2240 thackery road surya sen colony alipore., Gopal Nagar, Kolkata - South, West Bengal",Dhonedhano Auditorium gate 5,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Rent-Gopal-Nagar-in-Kolkata&id=4d423833373737323337,,,2(Out of 4 Floors),10 to 15 years,10 to 15 years,,,,"Garden/Park, Pool, Main Road",None of these,,,,,,,,,1 Open,24 Hours Available,No/Rare Powercut,5.0,,,"Ceramic Tiles, Granite, Marble",,,,,,,,,,,,,
1 BHK 500 Sq-ft Flat/Apartment  For Rent in,"₹18,500","Airport 2 Number Gate, Kolkata",,,,369sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹50/sqft,Immediately,Furnished,"₹18,500|₹500Monthly Maintenance","₹36, 000","Post Office Rajbari, Dum Dum, Kolkata - 700081, Airport 2 Number Gate, Kolkata - North, West Bengal",Babul Restaurant,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Rent-Airport-2-Number-Gate-in-Kolkata&id=4d423833373834303531,1.0,,Ground(Out of 4 Floors),New Construction,New Construction,,,,Main Road,,,,,,,,,,,24 Hours Available,No/Rare Powercut,1.0,1.0,1.0,Ceramic Tiles,,,,,,,,,,,,,
"3 BHK Flat 1757 Sq-ft For Rent in Sunny Fort,","₹40,000","Action Area 2, Kolkata",3.0,3.0,,,Immediately,Furnished,"₹40,000|₹5,000Monthly Maintenance","₹80, 000","New Town, Kolkata, Action Area 2, Kolkata - East, West Bengal",Infront of Eco park,Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1757-Sq-ft-Multistorey-Apartment-FOR-Rent-Action-Area-2-in-Kolkata&id=4d423833373832393335,,1757sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹23/sqft,2(Out of 12 Floors),,Less than 5 years,2.0,Sunny Fort,East,Main Road,None of these,₹ 63.9 Lac - ₹ 1.35 Cr,Fort Group,"Fire Fighting Equipment,Cycling & Jogging Track,Recreational Pool,Library And Business Centre,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Event Space & Amphitheatre,Arts & Craft Studio,AEROBICS ROOM,Outdoor Tennis Courts,Jogging and Strolling Track,Banquet Hall,DTH Television Facility,Waste Disposal,Maintenance Staff,Visitor Parking,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 5,263 - ₹ 5,407",3 BHK Flats,"6 Towers , 262 Units",1.0,2.0,1 Covered,24 Hours Available,Over 6 Hours Powercut,12.0,2.0,,"Ceramic Tiles, Granite",,,,,,,,,,,,,
2 BHK Flat 860 Sq-ft For Rent in,"₹25,000","kolkata, Kolkata",2.0,2.0,1.0,,,Furnished,"₹25,000","₹50, 000","Alaktika Housing complex, new town near City centre 2, Kolkata, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-860-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Kolkata&id=4d423833373834343531,,860sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹29/sqft,7(Out of 10 Floors),10 to 15 years,10 to 15 years,,,South -West,"Garden/Park, Pool, Main Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK 480 Sq-ft Flat/Apartment  For Rent in,"₹9,000","Dakshin Para Purba Putiary, Kolkata",,,1.0,500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,Immediately,Furnished,"₹9,000",,"2km from Netaji Kudhghat Metro Station, Dakshin Para Purba Putiary, Kolkata - South, West Bengal",Netaji Kudhghat metro station.,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-480-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Kolkata&id=4d423833373735393439,1.0,,2(Out of 4 Floors),Less than 5 years,Less than 5 years,,,,Main Road,,,,,,,,,,,,,,,1.0,Ceramic Tiles,,,,,,,,,,,,,
"3 BHK Flat 1131 Sq-ft For Rent in Magnolia Skyview,","₹15,000","Rajarhat, Kolkata",3.0,2.0,,,Immediately,Unfurnished,"₹15,000",,"Rajarhat, Kolkata, Rajarhat, Kolkata - North, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1131-Sq-ft-Multistorey-Apartment-FOR-Rent-Rajarhat-in-Kolkata&id=4d423833373733333739,,1131sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹13/sqft,11(Out of 11 Floors),10 to 15 years,10 to 15 years,2.0,Magnolia Skyview,East,,,₹ 37.3 Lac - ₹ 58.1 Lac,Magnolia Infrastructure Development Ltd.,"Provision for power backup,Community Hall,Badminton court,Aesthetically designed landscape garden,Community entrance gate,Fire Fighting Equipment,Activity Deck4,Outdoor Tennis Courts,Meditation Area,Kids Club,Indoor Squash & Badminton Courts,Indoor Games Room,Kids play area,CCTV Camera,Multipurpose Hall,Grand Entrance lobby,Infinity Swimming Pool,Outdoor Tennis Courts,Cafeteria/Food Court,Banquet Hall,DTH Television Facility,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Water Storage,Security,Reserved Parking,Gymnasium,Swimming Pool,Rain Water Harvesting,Lift,Power Back Up","₹ 4,072 - ₹ 4,722","2, 3 BHK Flats","7 Towers , 330 Units",,,,24 Hours Available,No/Rare Powercut,11.0,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹6,500",Hooghly,2.0,2.0,,1250sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹5/sqft,Immediately,Unfurnished,"₹6,500","₹13, 000","station road sarad pally, Hooghly, Kolkata, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1500-Sq-ft-Residential-House-FOR-Rent-Hooghly-in-Kolkata&id=4d423833373836313431,,,,Less than 5 years,Less than 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹15,000","Baliya, Kolkata",2.0,,1.0,,Immediately,Unfurnished,"₹15,000|₹200Monthly Maintenance","₹15, 000","72., Baliya, Kolkata - South 24 Parganas District, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1170-Sq-ft-Residential-House-FOR-Rent-Baliya-in-Kolkata&id=4d423833373835393739,1.0,1170sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹13/sqft,,15 to 20 years,15 to 20 years,,,East,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2 BHK 833 Sq-ft Flat/Apartment  For Rent in,"₹20,000","Bansdroni, Kolkata",2.0,2.0,1.0,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹27/sqft,Immediately,Unfurnished,"₹20,000|₹1,000Monthly Maintenance","₹20, 000","B 333 Brahmapur Northern park, Bansdroni, Kolkata - South, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-833-Sq-ft-Multistorey-Apartment-FOR-Rent-Bansdroni-in-Kolkata&id=4d423833373839303633,,,1(Out of 3 Floors),Above 20 years,Above 20 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1170 Sq-ft For Rent in Atri Green Valley Phase II,","₹18,000","Sonarpur, Kolkata",3.0,2.0,1.0,,,Unfurnished,"₹18,000","₹30, 000","Sonarpur, Kolkata - South 24 Parganas District, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1170-Sq-ft-Multistorey-Apartment-FOR-Rent-Sonarpur-in-Kolkata&id=4d423833373836343535,,1170sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹15/sqft,6(Out of 7 Floors),Less than 5 years,Less than 5 years,,Atri Green Valley Phase II,South - East,"Pool, Garden/Park, Main Road",,₹ 36.7 Lac - ₹ 47.7 Lac,Atri Group,"Community Hall,Cycling & Jogging Track,Indoor Squash & Badminton Courts,Indoor Games Room,Kids play area,Outdoor Tennis Courts,Maintenance Staff,Intercom Facility,Gymnasium,Swimming Pool,Rain Water Harvesting,Lift",,2 BHK Flats,"19 Towers , 228 Units",,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 822 Sq-ft For Rent in Shrachi Greenwood Elements,","₹18,000","Rajarhat, Kolkata",2.0,2.0,1.0,,Immediately,Furnished,"₹18,000","₹36, 000","Newtown, Rajarhat, Rajarhat, Kolkata - North, West Bengal",Derozia College,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-822-Sq-ft-Multistorey-Apartment-FOR-Rent-Rajarhat-in-Kolkata&id=4d423833373837323139,,822sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹22/sqft,7(Out of 8 Floors),5 to 10 years,5 to 10 years,,Shrachi Greenwood Elements,South - East,Garden/Park,,₹ 23.0 Lac - ₹ 1.25 Cr,Shrachi Realty,"Fire Fighting Equipment,Cycling & Jogging Track,Retail Boulevard (Retail Shops),Multipurpose Courts,Meditation Area,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Event Space & Amphitheatre,Jogging and Strolling Track,Banquet Hall,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 5,714 - ₹ 7,143",3 BHK Flats,"3 Towers , 224 Units",,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 890 Sq-ft For Rent in Eden Realty Solaris Bonhooghly,","₹21,500","Bonhooghly, Kolkata",3.0,2.0,,760sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹28/sqft,,Semi-Furnished,"₹21,500",,"lake view road, Bonhooghly, Kolkata - North, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-890-Sq-ft-Multistorey-Apartment-FOR-Rent-Bonhooghly-in-Kolkata&id=4d423833373838323339,,,8(Out of 14 Floors),Less than 5 years,Less than 5 years,3.0,Eden Realty Solaris Bonhooghly,South,Garden/Park,,₹ 58.5 Lac - ₹ 70.0 Lac,Eden Realty Ventures Private Limited,"Fire Fighting Equipment,Retail Boulevard (Retail Shops),Multipurpose Courts,Meditation Area,Kids Play Pool With Water Slides,Kids Play Area,Indoor Squash & Badminton Courts,Flower Gardens,Event Space & Amphitheatre,Dance Studio,Concierge Services,Canopy Walk,Arts & Craft Studio,AEROBICS ROOM,Guest lobby in each floor,Solar Energy,Horticulture,Multipurpose Hall,All wooden flooring,AC in each room,Premium branded fittings,Grand Entrance lobby,Fingerprint Access,Large Open space,3 Tier Security System,Large Clubhouse,Located in the Heart of city,Health club with Steam / Jaccuzi,Theme based Architectures,Central AC,Earth quake resistant,High Ceiling,Skydeck,Sea facing,Pool with temperature control,Infinity Swimming Pool,Golf Course,Mini Cinema Theatre,Private jaccuzi,Private pool,Helipad,Conference Room,Cafeteria/Food Court,Bar/Lounge,Banquet Hall,Internet/Wi-Fi Connectivity,Maintenance Staff,Intercom Facility,Private Terrace/Garden,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Lift,Power Back Up","₹ 6,000 - ₹ 6,100",3 BHK Flats,"4 Towers , 276 Units",,,,,,,,,,,,,,,,,,,,,,
