Title,Rental_Price,Location,Bed,Baths,Carpet Area,Floor,Status,Furnished Status,Rental Value,Security Deposit,Address,Furnishing,link,Facing,Age Of Construction,Flooring,Overlooking,Age of Construction,Bath,Super Built-up Area,Developer,Project,Amenities,Price,Price per sqft,Configuration,Tower & Unit,Beds,Balcony,Balconies,Landmarks,Additional Rooms,Lifts,Water Availability,Status of Electricity,Floors allowed for construction,Lift,Car parking,Covered Parking,Tower,Authority Approval,Unit,Type of Ownership,RERA ID,Floors allowed,Plot Area,Any Construction done,Boundary Wall,Transaction Type
1 BHK 500 Sq-ft Flat/Apartment  For Rent in,"₹45,000","Military Road, Mumbai",1.0,2.0,500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹90/sqft,5(Out of 7 Floors),Immediately,Semi-Furnished,"₹45,000",₹1.5 Lac,"Military Road, Mumbai - Western Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Rent-Military-Road-in-Mumbai&id=4d423833373930373735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK 450 Sq-ft Flat/Apartment  For Rent in,"₹33,000","Kannamwar Nagar 1, Mumbai",1.0,2.0,370sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹89/sqft,5(Out of 22 Floors),,Semi-Furnished,"₹33,000",,"Peak 25, Kannamwar Nagar 1, Mumbai - Central Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Rent-Kannamwar-Nagar-1-in-Mumbai&id=4d423833373635353033,West,Less than 5 years,Normal Tiles/Kotah Stone,"Garden/Park, Main Road",Less than 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 650 Sq-ft For Rent in Satellite Garden,","₹44,000","Goregaon East, Mumbai",1.0,,,6(Out of 7 Floors),Immediately,Furnished,"₹44,000",₹1.5 Lac,"Goregaon East, Mumbai - Western Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Goregaon-East-in-Mumbai&id=4d423833373838393935,North - East,5 to 10 years,,Garden/Park,5 to 10 years,1.0,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹68/sqft,Satellite Builders Pvt. Ltd.,Satellite Garden,"Fire Fighting Equipment,Cycling & Jogging Track,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Intercom Facility,Air Conditioned,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 76.0 Lac - ₹ 2.75 Cr,"₹ 13,818 - ₹ 18,966","1, 2 BHK Flats","13 Towers , 120 Units",,,,,,,,,,,,,,,,,,,,,,
4 BHK  2000 Sq-ft For Rent in,"₹90,000","Sector 6 Charkop, Mumbai",,3.0,2000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹45/sqft,,Immediately,Semi-Furnished,"₹90,000",₹3.0 Lac,"amardeep cooperative society sec 6 plot no 601room mo d6, Sector 6 Charkop, Mumbai - Western Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/4-BHK-2000-Sq-ft-Villa-FOR-Rent-Charkop-Sector-6-in-Mumbai&id=4d423833373637343039,,New Construction,,,New Construction,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1111 Sq-ft For Rent in Lily Kunj Apartment,",₹1.1 Lac,"Vile Parle East, Mumbai",,3.0,,5(Out of 7 Floors),Immediately,Unfurnished,₹1.1 Lac,,"Vile Parle East, Mumbai - Western Mumbai, Maharashtra",Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1111-Sq-ft-Multistorey-Apartment-FOR-Rent-Vile-Parle-East-in-Mumbai&id=4d423833373736313733,,,,,,,1111sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹96/sqft,,Lily Kunj Apartment,,₹ 3.0 Cr - ₹ 3.67 Cr,,,,3.0,,,,,,,,,,,,,,,,,,,,,
5 BHK 2500 Sq-ft Flat/Apartment  For Rent in,₹1.5 Lac,"Mulund East, Mumbai",,4.0,2100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹71/sqft,7(Out of 8 Floors),Immediately,Semi-Furnished,₹1.5 Lac,₹6.0 Lac,"Ambika Plaza 90 ft road mulund east Mumbai 400 081, Mulund East, Mumbai - Central Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/5-BHK-2500-Sq-ft-Multistorey-Apartment-FOR-Rent-Mulund-East-in-Mumbai&id=4d423833373635323631,North - East,15 to 20 years,,Main Road,15 to 20 years,,,,,,,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,
2 BHK Flat 750 Sq-ft For Rent in,"₹35,000","Sn Medtiya Raviraj, Mira Road Area, Mumbai, Mumbai",,2.0,,1(Out of 3 Floors),Immediately,Semi-Furnished,"₹35,000",,"Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Mumbai&id=4d423833373731373335,,,,,,,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹47/sqft,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1 BHK 600 Sq-ft Flat/Apartment  For Rent in,"₹66,000","Andheri West, Mumbai",1.0,2.0,560sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹118/sqft,2(Out of 4 Floors),,Furnished,"₹66,000",₹1.6 Lac,"umedvilla building, vishwabharthi soc, near shri ram school, jain upashray lane, Andheri West, Mumbai - Western Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Andheri-West-in-Mumbai&id=4d423833373738323337,,Above 20 years,,,Above 20 years,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 650 Sq-ft For Rent in Everest Classique,","₹40,000","Vile Parle East, Mumbai",1.0,,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹62/sqft,6(Out of 6 Floors),Immediately,Furnished,"₹40,000",,"Everest Classique, Subhash Road, Vile Parle East, Vile Parle East, Mumbai - Western Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Vile-Parle-East-in-Mumbai&id=4d423833373832333933,,10 to 15 years,Marble,Main Road,10 to 15 years,1.0,,,Everest Classique,,₹ 3.0 Cr - ₹ 3.67 Cr,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK Flat 315 Sq-ft For Rent in,"₹55,000","Mahabubabad, Mumbai",1.0,,315sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹175/sqft,7(Out of 10 Floors),,Furnished,"₹55,000",₹1.5 Lac,"bhawani shankar road, dadar west, Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-315-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Mumbai&id=4d423833373930353537,,5 to 10 years,,Main Road,5 to 10 years,1.0,,,,,,,,,,,,nandgopal industrial estate,,,,,,,,,,,,,,,,,,
"2 BHK Flat 727 Sq-ft For Rent in Eastern Majesty,","₹49,000","Mulund East, Mumbai",,2.0,727sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹67/sqft,4(Out of 16 Floors),,Furnished,"₹49,000",₹2.3 Lac,"Mulund East, Mulund East, Mumbai - Central Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-727-Sq-ft-Multistorey-Apartment-FOR-Rent-Mulund-East-in-Mumbai&id=4d423833373932393337,,5 to 10 years,,,5 to 10 years,,,,Eastern Majesty,,₹ 1.52 Cr - ₹ 1.80 Cr,,,,2.0,,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 750 Sq-ft For Rent in Kalash Kumkum,","₹10,000","Virar West, Mumbai",1.0,,,1(Out of 15 Floors),Immediately,Semi-Furnished,"₹10,000",,"Kumkum apartment, Near Agrawal Lifestyle, Global city, Virar west, Virar West, Mumbai - Mira Road and Beyond, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Virar-West-in-Mumbai&id=4d423833373835313235,East,5 to 10 years,,Main Road,5 to 10 years,1.0,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹13/sqft,Kalash Developers,Kalash Kumkum,"Fire Fighting Equipment,Cycling & Jogging Track,Retail Boulevard (Retail Shops),Meditation Area,Kids Play Area,Kids Club,Indoor Games Room,Flower Gardens,Dance Studio,Jogging and Strolling Track,Conference Room,Cafeteria/Food Court,Banquet Hall,DTH Television Facility,Laundry Service,Waste Disposal,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Lift",₹ 37.0 Lac Onwards,,1 BHK Flats,"1 Tower , 88 Units",,,4.0,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 1200 Sq-ft For Rent in Mukand CHS,","₹50,000","Ghatkopar West, Mumbai",,2.0,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹50/sqft,2(Out of 4 Floors),,Furnished,"₹50,000",,"E12 Mukand CHS. 2 nd floor Vrindavan building L B S road Ghatkopar West, Ghatkopar West, Mumbai - Central Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Ghatkopar-West-in-Mumbai&id=4d423833373734303635,North,Above 20 years,,Main Road,Above 20 years,,,Cooperative Group Housing Society,Mukand CHS,,₹ 1.40 Cr - ₹ 2.10 Cr,,,,2.0,,2.0,the society is in d lane next to Chirag nagar police station. straight inside the lane at the end is Sai baba temple   the building is just there.  2 nd floor. flat no E 12,,,,,,,,,,,,,,,,,,
"2 BHK Flat 700 Sq-ft For Rent in Kavya Naidu Colony,","₹45,000","Ghatkopar East, Mumbai",,2.0,511sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹88/sqft,14(Out of 17 Floors),,Unfurnished,"₹45,000",₹1.5 Lac,"Tower 5 Eve society MICL, naidu Colony, pantnagar, Ghatkopar east, Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Rent-Ghatkopar-East-in-Mumbai&id=4d423833373636363337,,Less than 5 years,,,Less than 5 years,,,,Kavya Naidu Colony,,₹ 1.85 Cr - ₹ 2.53 Cr,,,,2.0,,,,,,,,,,,,,,,,,,,,,
2 BHK 950 Sq-ft Flat/Apartment  For Rent in,"₹65,000","Rambaug Powai, Mumbai",,2.0,706sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹92/sqft,11(Out of 17 Floors),,Semi-Furnished,"₹65,000",,"Lakeview Seven Complex, Rambaug, Near Shipping Corporation, Powai, Rambaug Powai, Mumbai - Central Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-950-Sq-ft-Multistorey-Apartment-FOR-Rent-Rambaug-in-Mumbai&id=4d423833373933373731,North - East,New Construction,Mosaic,Main Road,New Construction,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1 BHK Flat 460 Sq-ft For Rent in,"₹25,000","Mahabubabad, Mumbai",1.0,2.0,380sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹66/sqft,11(Out of 22 Floors),,Semi-Furnished,"₹25,000|₹2,500Monthly Maintenance","₹70, 000","Panchamukhi society, Behind Shiv darshan sewa mandal, Nardas Nagar Tembi pada road Bhandup west, Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-460-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Mumbai&id=4d423833373739333531,,Less than 5 years,,,Less than 5 years,,,,,,,,,,,,3.0,behind Shiv darshan sewa mandal.Nardas nagar tempi pada road Bhandup west,,,,,,,,,,,,,,,,,,
3 BHK 1377 Sq-ft Flat/Apartment  For Rent in,₹1.2 Lac,"Andheri East, Mumbai",,3.0,1377sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹87/sqft,13(Out of 27 Floors),Immediately,Semi-Furnished,₹1.2 Lac,₹3.5 Lac,"Vikhroli link road, Andheri East, Andheri East, Mumbai - Western Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1377-Sq-ft-Multistorey-Apartment-FOR-Rent-Andheri-East-in-Mumbai&id=4d423833373733323731,South - East,5 to 10 years,,"Garden/Park, Pool, Main Road",5 to 10 years,,,,,,,,,,3.0,,3.0,,Store,,,,,,,,,,,,,,,,,
"1 BHK Flat 450 Sq-ft For Rent in Velentine Apartment 1,","₹45,000","Malad East, Mumbai",1.0,2.0,386sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹117/sqft,1(Out of 21 Floors),Immediately,Unfurnished,"₹45,000",₹1.0 Lac,"104 Velentine Appartment 1 D wing Filim City road Malad east, Malad East, Mumbai - Western Mumbai, Maharashtra",Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Rent-Malad-East-in-Mumbai&id=4d423833373731363537,,Less than 5 years,,,Less than 5 years,,,,Velentine Apartment 1,,₹ 1.55 Cr - ₹ 2.14 Cr,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 777 Sq-ft For Rent in Hiranandani Castle Rock,",₹1.4 Lac,"Powai, Mumbai",,2.0,,3(Out of 23 Floors),Immediately,Semi-Furnished,₹1.4 Lac,,"C 200., Powai, Mumbai - Central Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-777-Sq-ft-Multistorey-Apartment-FOR-Rent-Powai-in-Mumbai&id=4d423833373835393839,,,,,,,777sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹174/sqft,Hiranandani Group,Hiranandani Castle Rock,"Fire Fighting Equipment,Outdoor Tennis Courts,Meditation Area,Indoor Squash & Badminton Courts,Flower Gardens,Event Space & Amphitheatre,AEROBICS ROOM,Shopping center,CCTV Camera,Bar/Lounge,Internet/Wi-Fi Connectivity,Waste Disposal,Security,Reserved Parking,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 2.35 Cr - ₹ 4.86 Cr,"₹ 29,524 - ₹ 41,000",2 BHK Flats,"2 Towers , 508 Units",2.0,,,,,,,,,,,,,,,,,,,,,
1 BHK 425 Sq-ft Flat/Apartment  For Rent in,"₹60,000","Tardeo, Mumbai",1.0,,,5(Out of 6 Floors),Immediately,Semi-Furnished,"₹60,000",,"Tardeo, Mumbai - South Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-425-Sq-ft-Multistorey-Apartment-FOR-Rent-Tardeo-in-Mumbai&id=4d423833373732393133,,,,,,1.0,425sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹141/sqft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 960 Sq-ft For Rent in Shanti Garden Sector 2,","₹30,000","Mira Road, Mumbai",,2.0,,7(Out of 20 Floors),,Semi-Furnished,"₹30,000",₹1.0 Lac,"samarth co operative housing society, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-960-Sq-ft-Multistorey-Apartment-FOR-Rent-Mira-Road-in-Mumbai&id=4d423833373733363937,,Less than 5 years,,,Less than 5 years,,960sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹31/sqft,Unique Shanti Developers Pvt. Ltd.,Shanti Garden Sector 2,"Fire Fighting Equipment,Kids Play Area,Flower Gardens,Intercom Facility,Visitor Parking,Air Conditioned,Vaastu Compliant,Security,Reserved Parking,Park,Club House,Lift,Power Back Up",₹ 42.4 Lac - ₹ 1.11 Cr,,"1, 2 BHK Flat","9 Towers , 252 Units",2.0,1.0,,,,,,,,,,,,,,,,,,,,
2 BHK 850 Sq-ft Flat/Apartment  For Rent in,"₹39,000","150 Feet Road, Mumbai",,2.0,700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹56/sqft,5(Out of 7 Floors),Immediately,Furnished,"₹39,000",₹1.5 Lac,"B508, Om Shankheswar CHS Ltd, 150 Feet Road, Mumbai - Mira Road and Beyond, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Rent-150-Feet-Road-in-Mumbai&id=4d423833373835363939,West,15 to 20 years,Marble,Garden/Park,15 to 20 years,,,,,,,,,,2.0,1.0,,"Padmavati NaMagar, 150 ft Road",None of these,2.0,24 Hours Available,No/Rare Powercut,7.0,2.0,,,,,,,,,,,,
"1 BHK Flat 350 Sq-ft For Rent in Meghna Apartment,","₹12,000","Juhu, Mumbai",1.0,,320sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹38/sqft,4(Out of 4 Floors),,Semi-Furnished,"₹12,000|₹500Monthly Maintenance","₹40, 000","B407, Meghna apartment, vraj manek nagar, near Rajesh Hotel, bhayandar west, Juhu, Mumbai - Western Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-350-Sq-ft-Multistorey-Apartment-FOR-Rent-Juhu-in-Mumbai&id=4d423833373933313331,,Above 20 years,,,Above 20 years,1.0,,,Meghna Apartment,,₹ 9.13 Cr - ₹ 11.99 Cr,,,,,,,Near Rajesh Hotel,Store,,,,,,,,,,,,,,,,,
3 BHK 1550 Sq-ft Flat/Apartment  For Rent in,₹1.5 Lac,"Yamuna Nagar Andheri West, Mumbai",,4.0,1550sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹97/sqft,4(Out of 16 Floors),,Semi-Furnished,₹1.5 Lac,₹5.0 Lac,"4344., Yamuna Nagar Andheri West, Mumbai - Western Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1550-Sq-ft-Multistorey-Apartment-FOR-Rent-Yamuna-Nagar-Andheri-West-in-Mumbai&id=4d423833373837393639,,15 to 20 years,"Marble, Wooden","Garden/Park, Main Road",15 to 20 years,,,,,,,,,,3.0,1.0,,Near Lokhandwala Market,,2.0,24 Hours Available,No/Rare Powercut,16.0,2.0,2 Open,,,,,,,,,,,
3 BHK Flat 850 Sq-ft For Rent in,"₹79,000","Rishabhraj Pheonix, Mumbai",,3.0,,21(Out of 34 Floors),Immediately,Unfurnished,"₹79,000",,"Mumbai, Maharashtra",Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Mumbai&id=4d423833373537393137,,,,,,,850sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹93/sqft,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 532 Sq-ft For Rent in Greenfields CHS,","₹48,000","Andheri East, Mumbai",1.0,2.0,,6(Out of 7 Floors),,Furnished,"₹48,000",₹1.0 Lac,"Andheri East, Andheri East, Mumbai - Western Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-532-Sq-ft-Multistorey-Apartment-FOR-Rent-Andheri-East-in-Mumbai&id=4d423833373736343233,West,10 to 15 years,,"Garden/Park, Pool",10 to 15 years,,532sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹90/sqft,Cooperative Group Housing Society,Greenfields CHS,"Fire Fighting Equipment,Retail Boulevard (Retail Shops),Kids Play Area,Indoor Games Room,DTH Television Facility,Laundry Service,Waste Disposal,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Lift",₹ 1.0 Cr - ₹ 1.20 Cr,"₹ 18,797 - ₹ 22,556",1 BHK Flats,"24 Towers , 1344 Units",,1.0,,,,,,,,,,,,,,,,,,,,
1 BHK 300 Sq-ft Flat/Apartment  For Rent in,"₹32,000","Colaba, Mumbai",1.0,,300sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹107/sqft,5(Out of 8 Floors),Immediately,Furnished,"₹32,000",,"Colaba, Mumbai - South Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-300-Sq-ft-Multistorey-Apartment-FOR-Rent-Colaba-in-Mumbai&id=4d423833373831363733,,New Construction,,,New Construction,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 800 Sq-ft For Rent in Chandak 34 Park Estate,","₹68,000","Yashwant Nagar Goregaon West, Mumbai",,3.0,,22(Out of 36 Floors),Immediately,Unfurnished,"₹68,000",,"Yashwant Nagar Goregaon West, Mumbai - Western Mumbai, Maharashtra",Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Rent-Yashwant-Nagar-Goregaon-West-in-Mumbai&id=4d423833373834313531,,,,,,,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹85/sqft,Chandak Group,Chandak 34 Park Estate,"Kids Splash Pool,Half basketball court,Multipurpose Courts,Kids play area,Private jaccuzi,Gymnasium",₹ 1.15 Cr - ₹ 3.02 Cr,"₹ 15,504 - ₹ 37,500","1, 2, 3 BHK Flats","6 Towers , 1285 Units",3.0,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 935 Sq-ft For Rent in Jai Residency,","₹20,000","Vasai East, Mumbai",,2.0,685sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹29/sqft,5(Out of 7 Floors),,Semi-Furnished,"₹20,000",₹1.0 Lac,"JAI RESIDENCY, Evershine City, Vasai East, Above SBI bank, Below Ram Rahim Nagar, Pin- 401208, Vasai East, Mumbai - Mira Road and Beyond, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-935-Sq-ft-Multistorey-Apartment-FOR-Rent-Vasai-East-in-Mumbai&id=4d423833373934343433,East,5 to 10 years,,"Garden/Park, Main Road",5 to 10 years,,,RR Builders,Jai Residency,,₹ 38.7 Lac - ₹ 44.9 Lac,,,,2.0,,4.0,"SBI BANK, MCDON",Study,,,,,,,,,,,,,,,,,
3 BHK 1100 Sq-ft Flat/Apartment  For Rent in,₹1.7 Lac,"Juhu Versova Link Road, Mumbai",,3.0,,8(Out of 12 Floors),,Furnished,₹1.7 Lac,,"Juhu Versova Link Road, Mumbai - Western Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-Juhu-Versova-Link-Road-in-Mumbai&id=4d423833373733383431,,,,,,,1100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹155/sqft,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
