Title,Rental_Price,Location,Bed,Bath,Super Built-up Area,Floor,Status,Furnished Status,Rental Value,Address,Furnishing,link,Beds,Baths,Balcony,Carpet Area,Facing,Lift,Car parking,Age Of Construction,Security Deposit,Landmarks,Flooring,Overlooking,Age of Construction,Additional Rooms,Water Availability,Status of Electricity,Floors allowed for construction,Covered Parking,Developer,Project,Amenities,Price,Price per sqft,Configuration,Tower & Unit,Balconies,Unit,Type of Ownership,Lifts,Authority Approval,Tower,RERA ID,Plot Area,Approved,Dimensions(L X B),Any Construction done,Boundary Wall,Transaction Type,Floors Allowed For Construction,Floors allowed,No of Open Sides,Additional Features
1 BHK Builder Floor 450 Sq-ft For Rent in,"₹20,000","Individual building in royapwttah, Chennai",1.0,1.0,450sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹44/sqft,Ground(Out of 3 Floors),Immediately,Semi-Furnished,"₹20,000","Chennai, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Builder-Floor-Apartment-FOR-Rent-in-Chennai&id=4d423833373838333937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK 1200 Sq-ft Flat/Apartment  For Rent in,"₹35,000","Royapettah, Chennai",,,,1(Out of 4 Floors),,Semi-Furnished,"₹35,000|₹2,000Monthly Maintenance","Flat No.C First Floor Triveni Aparments Door No 5028, Royapettah, Chennai - Central, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Royapettah-in-Chennai&id=4d423833373930363737,2.0,2.0,1.0,1050sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,North,1.0,1 Open,Above 20 years,₹2.1 Lac,"Closer to Schools, Hospitals, hotels, malls  metro.",Ceramic Tiles,Main Road,Above 20 years,None of these,24 Hours Available,No/Rare Powercut,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK 750 Sq-ft Flat/Apartment  For Rent in,"₹17,000","Manapakkam, Chennai",,,,2(Out of 2 Floors),Immediately,Semi-Furnished,"₹17,000","152 Shanmuga krupa l, Manapakkam, Chennai - West, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Manapakkam-in-Chennai&id=4d423833373936373739,2.0,2.0,1.0,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹23/sqft,East,,,5 to 10 years,,manapakkam,,,5 to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK 968 Sq-ft Flat/Apartment  For Rent in,"₹24,000","Medavakkam, Chennai",,,968sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,2(Out of 2 Floors),,Semi-Furnished,"₹24,000","Medavakkam, Chennai - South, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-968-Sq-ft-Multistorey-Apartment-FOR-Rent-Medavakkam-in-Chennai&id=4d423833373937333639,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1288 Sq-ft For Rent in Brigade Xanadu Phase II,","₹47,000","Mogappair West Ambattur Industrial Estate, Chennai",,,1288sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹36/sqft,1(Out of 6 Floors),Immediately,Semi-Furnished,"₹47,000","Celeste building next to club house, Mogappair West Ambattur Industrial Estate, Chennai - West, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1288-Sq-ft-Multistorey-Apartment-FOR-Rent-Mogappair-West-Ambattur-Industrial-Estate-in-Chennai&id=4d423833373837373131,3.0,2.0,,,North,,1 Covered,,,,Ceramic Tiles,,,,,,,1.0,Brigade Group,Brigade Xanadu Phase II,"Indoor Squash & Badminton Courts,Swimming Pool",₹ 1.05 Cr - ₹ 1.97 Cr,"₹ 6,700 - ₹ 9,134","2, 3 BHK Flats","11 Towers , 944 Units",,,,,,,,,,,,,,,,,
"2 BHK  850 Sq-ft For Rent in Staar Serasa Singhvi Garden,","₹14,500","Pudupakkam, Chennai",,,,,Immediately,Unfurnished,"₹14,500|₹1,000Monthly Maintenance","Plot No 25, Serasa Singhvi Garden, Phase 3, Pudupakkam Main Road, Pudupakkam - 603103, Pudupakkam, Chennai - South, Tamil Nadu",Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-850-Sq-ft-Residential-House-FOR-Rent-Pudupakkam-in-Chennai&id=4d423833373934373337,2.0,2.0,,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,East,,,,"₹60, 000",,,,,,,,,,,,"Aesthetically designed landscape garden,Community entrance gate,Kids play area,Entry Exit Gate,Fire Sprinklers,CCTV Camera,Garden View,Security,Park,Lift,Power Back Up",Call For Price,,,,2.0,", 224 Units",,,,,,,,,,,,,,,
2 BHK  1200 Sq-ft For Rent in,"₹30,000","Manisha villa kavanur village potheri 4kms, Chennai",,,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,,Immediately,Semi-Furnished,"₹30,000","Chennai, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Residential-House-FOR-Rent-in-Chennai&id=4d423833373934343735,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹8,500",Veppampattu,,,,,Immediately,Unfurnished,"₹8,500","Veppampattu, Chennai, Tamil Nadu",Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-2000-Sq-ft-Residential-House-FOR-Rent-Veppampattu-in-Chennai&id=4d423833373838383537,2.0,3.0,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹9/sqft,North,,,5 to 10 years,"₹50, 000",velammal school,,,5 to 10 years,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
"2 BHK Flat 950 Sq-ft For Rent in Saagar Shyams Sankalpa,","₹25,000","Ayanambakkam, Chennai",,,950sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹26/sqft,5(Out of 5 Floors),,Unfurnished,"₹25,000","Flat-507, 5th floor, Shyams Sankalpa Apartments, Metro City Rd, Ayanambakkam, Ayanambakkam, Chennai - West, Tamil Nadu",Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-950-Sq-ft-Multistorey-Apartment-FOR-Rent-Ayanambakkam-in-Chennai&id=4d423833373838343431,2.0,2.0,,,,,,Less than 5 years,,,,"Garden/Park, Main Road",Less than 5 years,,,,,,,Saagar Shyams Sankalpa,,₹ 67.5 Lac - ₹ 75.0 Lac,,,,2.0,,,,,,,,,,,,,,,,
"3 BHK Flat 1100 Sq-ft For Rent in Rajnis Komala Krishna,","₹37,000","Nungambakkam, Chennai",,,1100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹34/sqft,4(Out of 4 Floors),Immediately,Semi-Furnished,"₹37,000","New no. 8, Old no. 20, Corporation School Road, Nungambakkam, Chennai 600034.Opposite to tennis stadium, Next to DCB Bank., Nungambakkam, Chennai - Central, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-Nungambakkam-in-Chennai&id=4d423833373837303835,3.0,2.0,,,North,,1 Covered,15 to 20 years,,Opposite to Tennis Stadium. Next to DCB Bank.,Ceramic Tiles,,15 to 20 years,,,,,1.0,Rajni foundations,Rajnis Komala Krishna,"Fire Fighting Equipment,Flower Gardens,DTH Television Facility,Laundry Service,Waste Disposal,Maintenance Staff,Security,Reserved Parking,Lift",₹ 4.28 Cr - ₹ 6.03 Cr,,,"1 Tower , 40 Units",2.0,,,,,,,,,,,,,,,,
3 BHK Builder Floor 1250 Sq-ft For Rent in,"₹28,000","Madipakkam, Chennai",,,,2(Out of 3 Floors),Immediately,Semi-Furnished,"₹28,000|₹2,000Monthly Maintenance","Madipakkam, Chennai - South, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1250-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Madipakkam-in-Chennai&id=4d423833373935343335,3.0,2.0,,100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹280/sqft,East,,,New Construction,₹1.1 Lac,sunshine school,,,New Construction,Puja Room,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
3 BHK 2000 Sq-ft Flat/Apartment  For Rent in,₹1.2 Lac,"Ashok Nagar, Chennai",,,,19(Out of 20 Floors),Immediately,Semi-Furnished,₹1.2 Lac,"Baashyam the peak, Ashok nagar main road, Ashok Nagar, Chennai - Central, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-2000-Sq-ft-Multistorey-Apartment-FOR-Rent-Ashok-Nagar-in-Chennai&id=4d423833373733303633,3.0,3.0,1.0,1700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹68/sqft,North,,,New Construction,,"Ashok pillar,",Vitrified,"Main Road, Garden/Park",New Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK 1575 Sq-ft Flat/Apartment  For Rent in,"₹40,000","New Perungalathur, Chennai",,,,1(Out of 13 Floors),Immediately,Semi-Furnished,"₹40,000","Shriram Park 63, New Perungalathur, Chennai - South, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1575-Sq-ft-Multistorey-Apartment-FOR-Rent-New-Perungalathur-in-Chennai&id=4d423833373933323831,3.0,2.0,1.0,1119sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹36/sqft,North,,,New Construction,,,,"Garden/Park, Main Road",New Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK 1601 Sq-ft Flat/Apartment  For Rent in,"₹60,000","Anna Nagar, Chennai",,,,2(Out of 3 Floors),Immediately,Semi-Furnished,"₹60,000|₹6,500Monthly Maintenance","Anna Nagar, 6th Avenue, R Block., Anna Nagar, Chennai, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1601-Sq-ft-Multistorey-Apartment-FOR-Rent-Anna-Nagar-in-Chennai&id=4d423833373931393839,3.0,3.0,,1600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹38/sqft,North,,,New Construction,₹3.6 Lac,Annanagar Sixth Avenue,,"Garden/Park, Main Road",New Construction,"Puja Room, Study, Store, Servant Room",,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
"3 BHK Flat 1425 Sq-ft For Rent in India Lakshmi Vrindavan,","₹55,000","Anna Nagar West, Chennai",,,1425sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹39/sqft,5(Out of 5 Floors),Immediately,Semi-Furnished,"₹55,000|₹3,540Monthly Maintenance","5A door number, Anna Nagar West, Chennai - Central, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1425-Sq-ft-Multistorey-Apartment-FOR-Rent-Anna-Nagar-West-in-Chennai&id=4d423833373937313739,3.0,3.0,,,North,,,New Construction,₹2.0 Lac,right near collector nagar bus stand,,Main Road,New Construction,Puja Room,,,,,India Builders Chennai Ltd.,India Lakshmi Vrindavan,"Provision for power backup,Fire Sprinklers,CCTV Camera,Waste Disposal,Security,Reserved Parking,Lift,Power Back Up",Call For Price,,3 BHK Flat,,3.0,", 20 Units",,,,,,,,,,,,,,,
3 BHK  2000 Sq-ft For Rent in,₹1.0 Lac,"Akkarai, Chennai",,,,,Immediately,Semi-Furnished,"₹1 Lac|₹8,000Monthly Maintenance","Good morning Amma, Please confirm if this is ok. Villa for Rent  Akkarai, ECR Bran Door No 16  17 Villa No 3 Lilly Pond Street  Allikulam Street Akkarai Injambakkam Chennai-600119, Akkarai, Chennai - South, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-2000-Sq-ft-Villa-FOR-Rent-Akkarai-in-Chennai&id=4d423833373935393539,3.0,3.0,1.0,2000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹50/sqft,North,,1 Open,New Construction,₹3.0 Lac,,"Ceramic Tiles, Granite, Marble, Marbonite",Garden/Park,New Construction,Puja Room,24 Hours Available,No/Rare Powercut,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK  1546 Sq-ft For Rent in,"₹22,000","Valarpuram, Chennai",,,1546sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹14/sqft,,Immediately,Semi-Furnished,"₹22,000","Valarpuram, Chennai - Outer West, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1546-Sq-ft-Villa-FOR-Rent-Valarpuram-in-Chennai&id=4d423833373831333835,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1559 Sq-ft For Rent in DLF Gardencity,","₹36,000","OMR, Chennai",,,1559sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹23/sqft,15(Out of 19 Floors),,Semi-Furnished,"₹36,000|₹6,000Monthly Maintenance","Omr., OMR, Chennai - South, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1559-Sq-ft-Multistorey-Apartment-FOR-Rent-OMR-in-Chennai&id=4d423833373839383739,3.0,2.0,,,East,,,5 to 10 years,"₹70, 000",,,,5 to 10 years,,,,,,DLF Ltd.,DLF Gardencity,"Provision for power backup,Aesthetically designed landscape garden,Sewage treatment plant,Fire Fighting Equipment,Cycling & Jogging Track,Retail Boulevard (Retail Shops),Outdoor Tennis Courts,Multipurpose Courts,Meditation Area,Library And Business Centre,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Bank & ATM,Coffee Lounge & Restaurants,AEROBICS ROOM,Shopping center,Library,Kids play area,CCTV Camera,Multipurpose Hall,Grand Entrance lobby,Infinity Swimming Pool,Outdoor Tennis Courts,Jogging and Strolling Track,Cafeteria/Food Court,Banquet Hall,Internet/Wi-Fi Connectivity,Laundry Service,Maintenance Staff,Intercom Facility,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 90.9 Lac - ₹ 1.54 Cr,,"2, 3 BHK Flat","42 Towers , 1727 Units",3.0,,,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹15,000","Ekkatuthangal, Chennai",1.0,1.0,,,Immediately,Unfurnished,"₹15,000","Ekkatuthangal, Chennai - West, Tamil Nadu",Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Residential-House-FOR-Rent-Ekkatuthangal-in-Chennai&id=4d423833373839333631,,,1.0,450sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹14,000","Morai, Chennai",,1.0,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹14/sqft,,Immediately,Unfurnished,"₹14,000","Morai, Chennai - North, Tamil Nadu",Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Residential-House-FOR-Rent-Morai-in-Chennai&id=4d423833373733353131,2.0,,1.0,,,,,New Construction,,,,,New Construction,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹25,000","Kelambakkam, Chennai",,,,,Immediately,Semi-Furnished,"₹25,000","No.24, Rammoorthy Nagar, Kelambakkam, Kelambakkam, Chennai - South, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Residential-House-FOR-Rent-Kelambakkam-in-Chennai&id=4d423833373931333233,2.0,2.0,1.0,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,East,,,New Construction,,near Kelambakkam Market,Normal Tiles/Kotah Stone,Main Road,New Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1850 Sq-ft For Rent in Kendriya Vihar,","₹35,000","Avadi, Chennai",,,1850sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,3(Out of 10 Floors),Immediately,Semi-Furnished,"₹35,000","Avadi, Chennai - West, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1850-Sq-ft-Multistorey-Apartment-FOR-Rent-Avadi-in-Chennai&id=4d423833373834323339,3.0,3.0,,,,,,,,,,,,,,,,,,Kendriya Vihar,,₹ 45.0 Lac - ₹ 72.3 Lac,,,,,", 574 Units",,,,,,,,,,,,,,,
"3 BHK Flat 1748 Sq-ft For Rent in Puravankara Purva Swanlake,","₹38,000","OMR, Chennai",,,1748sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹22/sqft,7(Out of 11 Floors),Immediately,Semi-Furnished,"₹38,000","Omr., OMR, Chennai - South, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1748-Sq-ft-Multistorey-Apartment-FOR-Rent-OMR-in-Chennai&id=4d423833373930363631,3.0,3.0,,,North,,,5 to 10 years,,Chettinad Health city Hospital,,Pool,5 to 10 years,,,,,,Puravankara Ltd.,Puravankara Purva Swanlake,"Fire Fighting Equipment,Cycling & Jogging Track,Retail Boulevard (Retail Shops),Outdoor Tennis Courts,Meditation Area,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,AEROBICS ROOM,Jogging and Strolling Track,DTH Television Facility,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 85.8 Lac - ₹ 1.0 Cr,,3 BHK Flat,"15 Towers , 729 Units",2.0,,,,,,,,,,,,,,,,
"3 BHK Flat 1180 Sq-ft For Rent in Selaiyur Plots,","₹25,000","Tambaram, Chennai",,,,1(Out of 2 Floors),,Semi-Furnished,"₹25,000|₹700Monthly Maintenance","No 10 kalpana nagar, Tambaram, Chennai - South, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1180-Sq-ft-Multistorey-Apartment-FOR-Rent-Tambaram-in-Chennai&id=4d423833373838313239,3.0,2.0,,1180sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹21/sqft,North,,,5 to 10 years,₹1.5 Lac,abirami mahal  seliyur police station,,,5 to 10 years,Puja Room,,,,,,Selaiyur Plots,,₹ 59.0 Lac - ₹ 67.0 Lac,,,,2.0,,,,,,,,,,,,,,,,
"2 BHK Flat 900 Sq-ft For Rent in GP Fern Breeze,","₹18,500","Ambattur, Chennai",,,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹21/sqft,2(Out of 3 Floors),,Unfurnished,"₹18,500|₹1,500Monthly Maintenance","Munusamy Koil Street, Menambedu, Ambattur, Ambattur, Chennai - North, Tamil Nadu",Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambattur-in-Chennai&id=4d423833373935373335,2.0,2.0,,,North,,,Less than 5 years,₹1.0 Lac,Annai Violet Arts college,,Main Road,Less than 5 years,,,,,,GP Homes Pvt. Ltd.,GP Fern Breeze,"Located in the Heart of city,Vaastu Compliant,Security,Reserved Parking,Rain Water Harvesting,Lift,Power Back Up",₹ 53.2 Lac - ₹ 83.7 Lac,,"2, 3 BHK Flat","1 Tower , 16 Units",2.0,,,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹12,000","Postal Colony West Mambalam, Chennai",1.0,,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,,Immediately,Semi-Furnished,"₹12,000|₹1,000Monthly Maintenance","29  69., Postal Colony West Mambalam, Chennai - Central, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Residential-House-FOR-Rent-Postal-Colony-West-Mambalam-in-Chennai&id=4d423833373836343831,,2.0,1.0,,,,,Less than 5 years,"₹60, 000",Just a quick 5minute walk to Mambalam Railway Station  100m bus stop,Ceramic Tiles,"Garden/Park, Main Road",Less than 5 years,"Puja Room, Study, Store, Servant Room",24 Hours Available,No/Rare Powercut,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Builder Floor 700 Sq-ft For Rent in,"₹26,000","Mandaveli, Chennai",,,700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹37/sqft,1(Out of 3 Floors),Immediately,Furnished,"₹26,000","Mandaveli, Chennai - Central, Tamil Nadu",Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-700-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Mandaveli-in-Chennai&id=4d423833373733353333,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 700 Sq-ft For Rent in Hari and Siva Flats,","₹12,000","Korattur, Chennai",1.0,,,1(Out of 2 Floors),Immediately,Furnished,"₹12,000|₹500Monthly Maintenance","Korattur, Chennai - North, Tamil Nadu",Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Rent-Korattur-in-Chennai&id=4d423833373935303939,,2.0,,700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹17/sqft,,,,5 to 10 years,"₹75, 000",,,,5 to 10 years,,,,,,,Hari and Siva Flats,,₹ 1.09 Cr - ₹ 1.32 Cr,,,,,", 6 Units",,,,,,,,,,,,,,,
1 BHK Flat 514 Sq-ft For Rent in,"₹13,000","Mogappair West Ambattur Industrial Estate, Chennai, Chennai",1.0,1.0,514sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,3(Out of 4 Floors),Immediately,Unfurnished,"₹13,000","Chennai, Tamil Nadu",Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-514-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Chennai&id=4d423833373932313839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK 1696 Sq-ft Flat/Apartment  For Rent in,"₹65,000","Janaki Nagar Alwartirunagar, Chennai",,,,13(Out of 15 Floors),Immediately,Semi-Furnished,"₹65,000","4 Arcot Road, Janaki Nagar Alwartirunagar, Chennai - West, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1696-Sq-ft-Multistorey-Apartment-FOR-Rent-Janaki-Nagar-Alwartirunagar-in-Chennai&id=4d423833373834343731,3.0,3.0,1.0,1100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹59/sqft,East,,,New Construction,,Near To Upcoming Keshavardhini Metro Station,,Main Road,New Construction,"Puja Room, Study",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK Flat 1600 Sq-ft For Rent in,"₹70,000","Alwarpet, Chennai",,,,1(Out of 4 Floors),Immediately,Semi-Furnished,"₹70,000|₹1,000Monthly Maintenance","Alwarpet, Chennai - Central, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Rent-Alwarpet-in-Chennai&id=4d423735383133353533,3.0,3.0,1.0,1600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹44/sqft,East,1.0,1 Covered,,₹3.5 Lac,,Vitrified,"Pool, Garden/Park, Main Road",5 to 10 years,"Puja Room, Servant Room",24 Hours Available,No/Rare Powercut,,1.0,,,,,,,,,,Freehold,,,,,,,,,,,,,,
"3 BHK Flat 1487 Sq-ft For Rent in Casagrand Cascades,","₹38,000","Padi, Chennai",,,,3(Out of 4 Floors),Immediately,Semi-Furnished,"₹38,000|₹5,640Monthly Maintenance","Casagrand Cascades, Padi, Chennai - North, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1487-Sq-ft-Multistorey-Apartment-FOR-Rent-Padi-in-Chennai&id=4d423732323335353033,3.0,3.0,,1050sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹36/sqft,East,1.0,"1 Covered, 1 Open",,₹2.0 Lac,"Near Padi Sivan Temple, Pothys, Saravana Stores, CPS, MMM etc.",Ceramic Tiles,"Garden/Park, Main Road",Less than 5 years,None of these,24 Hours Available,No/Rare Powercut,,1.0,Casagrand Builder Pvt. Ltd.,Casagrand Cascades,,₹ 82.6 Lac - ₹ 90.4 Lac,,,,2.0,,,,,,,,,,,,,,,,
