Title,Rental_Price,Location,Bed,Bath,Super Built-up Area,Floor,Status,Furnished Status,Rental Value,Address,Furnishing,link,Beds,Baths,Balcony,Carpet Area,Facing,Lift,Car parking,Age Of Construction,Security Deposit,Landmarks,Flooring,Overlooking,Age of Construction,Additional Rooms,Water Availability,Status of Electricity,Floors allowed for construction,Covered Parking,Developer,Project,Amenities,Price,Price per sqft,Configuration,Tower & Unit,Balconies,Unit,Type of Ownership,Lifts,Authority Approval,Tower,RERA ID,Plot Area,Approved,Dimensions(L X B),Any Construction done,Boundary Wall,Transaction Type,Floors Allowed For Construction,Floors allowed,No of Open Sides,Additional Features
4 BHK  2000 Sq-ft For Rent in,₹1.0 Lac,"Besant Nagar, Chennai",,,2000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹50/sqft,,Immediately,Semi-Furnished,₹1 Lac,"Besant Nagar, Chennai - Central, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/4-BHK-2000-Sq-ft-Villa-FOR-Rent-Besant-Nagar-in-Chennai&id=4d423833333833353833,4.0,4.0,1.0,,South,,1 Covered,10 to 15 years,,,Vitrified,,10 to 15 years,,24 Hours Available,No/Rare Powercut,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK 1595 Sq-ft Flat/Apartment  For Rent in,"₹30,000","Padur, Chennai",,,,3(Out of 13 Floors),,Semi-Furnished,"₹30,000|₹5,800Monthly Maintenance","01 B Block XS Real Siena Padur, Padur, Chennai - South, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1595-Sq-ft-Multistorey-Apartment-FOR-Rent-Padur-in-Chennai&id=4d423832393934353933,3.0,3.0,,1595sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,South,2.0,1 Covered,10 to 15 years,,"Close to hospital, bus stop, shopping, Siruseri future Metro station",Vitrified,"Garden/Park, Pool",10 to 15 years,Puja Room,24 Hours Available,No/Rare Powercut,1.0,1.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,
2 BHK Flat 810 Sq-ft For Rent in,"₹30,000","Korattur, Chennai",,,,1(Out of 2 Floors),Immediately,Semi-Furnished,"₹30,000","alliance orchid spring Kolathur, Korattur, Chennai - North, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-810-Sq-ft-Multistorey-Apartment-FOR-Rent-Korattur-in-Chennai&id=4d423833313331303937,2.0,2.0,1.0,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹38/sqft,South,,,New Construction,"₹80, 000",vacant land just walkable distance to kattupakkam metro station,,Garden/Park,New Construction,Puja Room,,,,,,,,,,,,,,Freehold,,,,,,,,,,,,,,
3 BHK Flat 1600 Sq-ft For Rent in,"₹50,000","Mandaveli, Chennai",,,,3(Out of 4 Floors),Immediately,Semi-Furnished,"₹50,000|₹5,000Monthly Maintenance","near Chaitanya school, Mandaveli, Chennai - Central, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Rent-Mandaveli-in-Chennai&id=4d423733373636353131,3.0,3.0,,1500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,North,1.0,1 Covered,10 to 15 years,₹3.0 Lac,"near chettinad vidyashram Chaitanya, st.johns school",Vitrified,"Pool, Garden/Park",10 to 15 years,Puja Room,24 Hours Available,No/Rare Powercut,,1.0,,,,,,,,2.0,,Freehold,,,,,,,,,,,,,,
"2 BHK  1200 Sq-ft For Rent in XS Real Centra,","₹18,000","Perungalathur, Chennai",,,,,Immediately,Semi-Furnished,"₹18,000|₹500Monthly Maintenance","Perungalathur, Chennai - South, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Residential-House-FOR-Rent-Perungalathur-in-Chennai&id=4d423833333834313739,2.0,2.0,,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹15/sqft,,,,Less than 5 years,₹1.0 Lac,,,,Less than 5 years,,,,,,,,"Kids Play Area,Indoor Games Room,Gymnasium",₹ 79.1 Lac - ₹ 85.1 Lac,,"2, 3 BHK Flat","2 Towers , 75 Units",,,,,,,,,,,,,,,,,
1 BHK Builder Floor 900 Sq-ft For Rent in,"₹20,000","Tharamani, Chennai",1.0,1.0,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹22/sqft,2(Out of 2 Floors),Immediately,Semi-Furnished,"₹20,000|₹1,000Monthly Maintenance","4, Pilliyar koil street, Kazhikundram, Tharamani, Chennai - South, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-900-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Tharamani-in-Chennai&id=4d423237303732323235,,,,,South,,1 Covered,New Construction,₹1.0 Lac,"Ramanujam IT city 1km., [object Object], Tidalpark 1km, [object Object], IIT -500m.",Vitrified,,New Construction,,24 Hours Available,No/Rare Powercut,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
2 BHK Builder Floor 800 Sq-ft For Rent in,"₹15,000","Nerkundram, Chennai",,,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,1(Out of 3 Floors),Immediately,Unfurnished,"₹15,000","Nerkundram, Chennai - West, Tamil Nadu",Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-800-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Nerkundram-in-Chennai&id=4d423636353031323739,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK 989 Sq-ft Flat/Apartment  For Rent in Casagrand Smart Town,","₹31,500","Thazhambur, Chennai",,1.0,,2(Out of 4 Floors),Immediately,Furnished,"₹31,500|₹5,000Monthly Maintenance","Thazhambur, Chennai, Thazhambur, Chennai - South, Tamil Nadu",Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-989-Sq-ft-Multistorey-Apartment-FOR-Rent-Thazhambur-in-Chennai&id=4d423833343831303637,2.0,,1.0,989sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹32/sqft,West,2.0,"1 Covered, 1 Open",,₹1.9 Lac,,Ceramic Tiles,"Garden/Park, Pool, Main Road",,None of these,24 Hours Available,No/Rare Powercut,1.0,1.0,Casagrand Builder Pvt. Ltd.,Casagrand Smart Town,"Kids Play Area,Indoor Games Room,AEROBICS ROOM,Gymnasium,Swimming Pool",₹ 28.8 Lac - ₹ 49.4 Lac,,"1, 2 BHK Flat | 2 BHK Builder Floor Apartment","5 Towers , 482 Units",,,,2.0,,,,,,,,,,,,,
3 BHK Flat 1750 Sq-ft For Rent in,"₹50,000","Harrington Road, Chennai",,,,1(Out of 3 Floors),Immediately,Semi-Furnished,"₹50,000|₹2,000Monthly Maintenance","Nearby  Prashanth  Hospital, Metro  station, Harrington Road, Chennai - Central, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1750-Sq-ft-Multistorey-Apartment-FOR-Rent-Harrington-Road-in-Chennai&id=4d423531333138393930,3.0,3.0,,1600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹31/sqft,North,,,Less than 5 years,₹2.0 Lac,,,Main Road,Less than 5 years,Puja Room,,,,,,,,,,,,2.0,,Freehold,,,,,,,,,,,,,,
2 BHK  2000 Sq-ft For Rent in,"₹25,000","Nandanam, Chennai",,1.0,,2(Out of 2 Floors),Immediately,Unfurnished,"₹25,000","near Axis bank Saidapet branch, Nandanam, Chennai - Central, Tamil Nadu",Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-2000-Sq-ft-Penthouse-FOR-Rent-Nandanam-in-Chennai&id=4d423531323738383032,2.0,,,500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹50/sqft,West,,,5 to 10 years,,,,"Main Road, Garden/Park",5 to 10 years,Puja Room,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
